Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,1st Mo - Oil,1st Mo - Gas,1st Mo - Water,Max IP - Oil,Max IP - Gas,Max IP - Water,Max IP - Date - Oil,Max IP - Date - Gas,Max IP - Date - Water,2nd Mo - Oil,2nd Mo - Gas,2nd Mo - Water,2nd/3rd Mo - Oil,2nd/3rd Mo - Gas,2nd/3rd Mo - Water,2nd/3rd Mo - Num of Mos,2nd-4th Mo - Oil,2nd-4th Mo - Gas,2nd-4th Mo - Water,2nd-4th Mo - Num of Mos,Norm 6 mos - Oil,Norm 6 mos - Gas,Norm 6 mos - Water,Norm 6 mos - Num of Mos,Norm 1 yr - Oil,Norm 1 yr - Gas,Norm 1 yr - Water,Norm 1 yr - Num of Mos,Norm 2 yr - Oil,Norm 2 yr - Gas,Norm 2 yr - Water,Norm 2 yr - Num of Mos,Cum Oil,Cum Gas,Last 12 Month Oil,Last 12 Month Gas
242010250616,PI,WELL,G,TARTT EMMA ET AL,16,42013342210001,250616,145,1852,,,,,,,,657,2665,,1077,4869,,2,1274,6532,,3,1592,10405,,6,2284,16215,,12,2606,17630,,23,2752,19482,1,
242010264109,PI,WELL,G,JUPE A,1H,42013343820000,264109,,1606,22295,,34,472,,2011-09-12,2011-09-12,,,,,,,0,,,,0,,,,0,,,,0,,,,0,0,1606,,1606
242030236190,PI,WELL,G,SANTE FE A,2,42051324200001,236190,119,3952,5353,,443,600,,2008-03-20,2008-03-20,113,1298,1758,153,1574,2132,2,168,1904,2579,3,202,3063,4149,6,415,7899,8142,12,550,12674,8523,24,837,20476,61,769
242030241432,PI,WELL,G,SANTA FE A,1,42051314870001,241432,41,1018,733,,93,67,,2008-03-25,2008-03-25,31,280,202,111,1031,743,2,131,1031,743,3,292,2553,1840,6,292,2553,1840,12,348,3331,2401,19,439,5403,26,263
242030242983,PI,WELL,G,BOULDEN F,1,42051317330001,242983,5,468,,,33,,,2008-09-23,,67,700,,99,1241,,2,140,1762,,3,187,2762,,6,308,4967,,12,405,6891,,24,597,9025,146,1091
21706130266020720502,PI,ALLOCATED,G,INTERNATIONAL PAPER CO 30,002,17085217740000,207205,,6856,,,,,,,,,6396,,,14127,,2,,20296,,3,,37168,,6,,68798,,12,,119620,,23,0,126476,,55913
21706130266020720503,PI,ALLOCATED,G,INTERNATIONAL PAPER CO 30,002,17085217740000,207205,65,4817,,,12,10,,2012-06-15,2012-06-15,6,5066,,12,10156,,2,24,15549,,3,26,21892,603,6,27,30762,2459,12,29,42295,3048,14,94,47112,17,32139
142020P58043MULTIWELL01,PI,ALLOCATED,O,RANKIN ETAL 142,MULTI,42107314790000,,27061,100294,,,,,,,,27261,101004,,51324,193178,,2,75198,284526,,3,97557,368285,,4,97557,368285,,4,97557,368285,,4,124618,468579,124618,468579
1420200095971,PI,ALLOCATED,O,SCHENDEL A-303,1,42123323550000,,2930,5025,,,,,,,,0,0,,8,0,,2,8,0,,3,12752,86023,965,6,37462,223006,3074,12,61525,449922,5623,24,69369,474283,23101,182152
1420200095972,PI,ALLOCATED,O,SCHENDEL A-303,2,42123323740000,,50,,5,,,,,,,0,,0,4915,4414,422,2,23763,23218,2030,3,65845,81381,5617,6,112105,172334,9475,12,158068,298032,12792,24,159652,300061,42914,114688
1420200096211 H,PI,ALLOCATED,O,D & S,1 H,42123323440000,,15713,30003,2404,1379,,211,2010-10-24,,2010-10-24,44321,57902,6752,44321,57902,6752,1,44321,57902,6752,1,44321,57902,6752,1,44321,57902,6752,1,44321,57902,6752,1,60034,87905,60034,87905
1420200096251,PI,ALLOCATED,O,SCHENDEL A-303 B,1,42123323740100,,2178,2664,189,,,,,,,0,0,0,5835,14730,505,2,30099,64071,2607,3,96290,196790,8341,6,162199,384120,14050,12,167758,407154,14532,13,169936,409818,167758,407154
1420200096301 H,PI,ALLOCATED,O,D & S,1 H,42123323440000,,22170,35790,,,,,,,,15841,23805,,26643,38911,,2,36985,47854,,3,53837,73166,,6,71022,100654,,12,84935,112484,,24,108816,151668,12622,11713
1420200096891,PI,ALLOCATED,O,ADAMS UNIT A,1,42123324000000,,6274,11855,,,,,,,,25937,62720,,54233,134331,,2,79535,197097,,3,162899,414340,,6,286330,746884,,12,341670,851136,,22,347944,862991,88859,195013
1420200097191,PI,ALLOCATED,O,C W HAHN UNIT A,1,42123324300000,,2031,2491,,,,,,,,1505,0,,1899,0,,2,1899,0,,3,6676,4722,,6,81986,114378,,12,116287,169998,,18,118318,172489,109611,165276
1420200097211,PI,ALLOCATED,O,SCHMIDT UNIT A,1,42123324700000,,1735,1862,47,,,,,,,338,0,9,593,0,16,2,17433,23483,473,3,82519,132859,2237,6,159614,242855,4328,12,191521,304941,5193,17,193256,306803,126685,202431
1420200097241,PI,ALLOCATED,O,G KLEIN UNIT D,1,42123324400000,,2273,1610,,,,,,,,,,,6285,6449,,1,32233,43106,,2,106240,158918,,5,148676,219860,,11,164776,247601,,16,167049,249211,81520,120268
1420200097251,PI,ALLOCATED,O,RUCKA UNIT A,1,42123324570100,,12058,14555,,,,,,,,30715,44145,,51926,76156,,2,66845,96664,,3,95244,160430,,6,109720,184690,,9,109720,184690,,9,121778,199245,121778,199245
1420200097311,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,1,42123323390100,,772,,248,1001,,336,2011-03-22,,2011-03-22,102,,32,2309,2821,724,2,5152,7067,1606,3,12627,17635,3850,6,33791,68677,9383,12,75708,178119,16452,20,76480,178119,58207,152995
1420200097312,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,2,42123323880000,,1369,,111,,,,,,,182,,15,4062,3132,325,2,9034,7915,718,3,21953,20142,1719,6,56761,82603,4179,12,117015,212990,7252,20,118384,212990,86790,183928
1420200097313,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,3,42123323980000,,4188,3322,,,,,,,,5382,5015,4,10231,9120,15,2,15087,13620,34,3,28575,26520,141,6,86216,131268,1602,12,131856,207932,4714,18,136044,211254,103281,181412
1420200097314,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,4,42123323990000,,4646,2233,,,,,,,,5957,3257,12,11308,5828,38,2,16651,8542,81,3,31385,15715,300,6,92350,59964,3166,12,136803,82582,9237,18,141449,84815,105418,66867
1420200097316,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,6,42123327080000,,13256,11845,,760,,,2012-08-18,,,13423,12777,39,25847,23629,138,2,36238,33289,286,3,56966,55443,990,6,66794,66060,1762,8,66794,66060,1762,8,80050,77905,80050,77905
1420200097317,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,7,42123327090000,,4184,,,,,,,,,8615,15434,,18093,32291,,2,27098,51961,,3,27098,51961,,3,27098,51961,,3,27098,51961,,3,31282,51961,31282,51961
1420200097421,PI,ALLOCATED,O,RICE UNIVERSITY,1,42123323240100,,22474,39620,,1363,,,2011-03-08,,,21331,46405,16,37912,85702,29,2,57714,129437,45,3,85218,192430,77,6,149208,432498,340,12,254396,933536,2121,24,280580,993078,94883,458524
1420200097422,PI,ALLOCATED,O,RICE UNIVERSITY,2,42123324560000,,12839,20747,,,,,,,,9312,18139,,13656,29902,,2,22471,44249,,3,80451,151719,,6,166952,316496,,12,206201,403200,,17,219040,423947,144531,286743
1420200097423,PI,ALLOCATED,O,RICE UNIVERSITY,3,42123324770000,,5250,14577,,,,,,,,10605,17578,8,34466,62033,28,2,57384,104536,68,3,124434,234342,339,6,196077,367123,1231,12,217510,414411,2203,15,222760,428988,160126,309875
1420200097551,PI,ALLOCATED,O,G KLEIN UNIT C,1,42123324580100,,1670,1801,,,,,,,,8625,8913,,34425,44432,,2,63235,85773,,3,142134,206232,,6,215095,303050,,12,239481,344391,,16,241151,346192,150506,219632
1420200097711,PI,ALLOCATED,O,G KLEIN UNIT B,1,42123324590000,,1804,1966,,,,,,,,6308,7694,,29319,43100,,2,54484,86477,,3,122001,196360,,6,190030,302323,,12,215967,349459,,16,217771,351425,139586,224114
1420200097721,PI,ALLOCATED,O,KLAEVEMANN UNIT A,1,42123324870000,,1656,2794,,,,,,,,1258,0,,2322,0,,2,2738,0,,3,38909,64074,,6,125920,236178,,12,151766,285044,,15,153422,287838,149028,285044
1420200097741,PI,ALLOCATED,O,G KLEIN UNIT E,1,42123325240000,,3518,2489,,,,,,,,27650,41337,,55139,79698,,2,76874,110030,,3,124232,175534,,6,157833,228029,,12,165142,241346,,13,168660,243835,137492,200009
1420200097951,PI,ALLOCATED,O,VASBINDER UNIT A,1,42123325080000,,1280,2539,,,,,,,,4408,6434,,25128,48725,,2,45180,93504,,3,128709,317252,,6,194507,482334,,12,209351,514509,,14,210631,517048,184223,465784
1420200097961,PI,ALLOCATED,O,A MUELLER UNIT A,1,42123325090000,,1250,2087,,,,,,,,16962,34060,,42036,87227,,2,71366,155851,,3,118815,271844,,6,168320,376968,,11,168320,376968,,11,169570,379055,169570,379055
1420200098221,PI,ALLOCATED,O,THIELE UNIT B,1,42123324690000,,1785,1744,,,,,,,,18702,28117,,52779,81007,,2,87264,143250,,3,132226,222706,,6,168865,276243,,11,168865,276243,,11,170650,277987,170650,277987
1420200098241,PI,ALLOCATED,O,R MEISCHEN UNIT A,1,42123325170000,,1719,1916,,,,,,,,0,0,,21071,34372,,2,46686,81930,,3,113790,198542,,6,166828,281913,,12,176734,310029,,15,178453,311945,130048,228099
1420200098381H,PI,ALLOCATED,O,LESKE-LOTT UNIT,1H,42123324060000,,8983,35704,,182,,28,2011-09-21,,2011-09-21,5495,23348,845,11250,44899,1754,2,14456,62112,2275,3,25266,113110,4203,6,32930,168601,6055,12,37301,227954,8497,20,46284,263658,7809,91727
1420200098382H,PI,ALLOCATED,O,LESKE-LOTT UNIT,2H,42123327510000,,3374,16825,178,759,,40,2012-07-28,,2012-07-28,17376,82283,924,33433,149797,1806,2,54700,254727,3012,3,96723,457048,5465,6,125054,596179,7119,9,125054,596179,7119,9,128428,613004,128428,613004
1420200098383H,PI,ALLOCATED,O,LESKE-LOTT UNIT,3H,42123327810000,,3188,16615,503,717,,113,2012-07-31,,2012-07-31,17289,84507,2166,34048,156353,3789,2,57252,271689,5451,3,105032,500740,7853,6,137244,658250,9473,9,137244,658250,9473,9,140432,674865,140432,674865
1420200098384H,PI,ALLOCATED,O,LESKE-LOTT UNIT,4H,42123328380000,,9217,44829,,765,,,2012-12-24,,,13151,58660,,22235,101135,,2,31523,143612,,3,40073,189161,,4,40073,189161,,4,40073,189161,,4,49290,233990,49290,233990
1420200098421,PI,ALLOCATED,O,H&H UNIT B,1,42123325580000,,1647,1039,,,,,,,,0,0,,855,0,,2,6214,4529,,3,68443,72390,,6,116587,117472,,12,116587,117472,,12,118234,118511,116587,117472
1420200098461,PI,ALLOCATED,O,R MEISCHEN UNIT B,1,42123325270000,,2807,3708,,,,,,,,23787,41414,,52111,84624,,2,77656,124485,,3,148532,242166,,6,193239,316588,,12,199591,327362,,13,202398,331070,175804,285948
1420200098501H,PI,ALLOCATED,O,FRANCES LEWTON,1H,42123324140000,,2,,,1021,,130,2011-11-17,,2011-11-17,1013,,,1013,,,2,1013,,,3,20715,73010,2508,6,62321,250559,7805,12,157807,752559,19964,21,157809,752559,111499,571505
1420200098731,PI,ALLOCATED,O,MAURER UNIT A,1,42123325030000,,2015,2088,,,,,,,,329,0,,1068,0,,2,1438,0,,3,55697,83586,,6,183829,291596,,12,183829,291596,,12,185844,293684,183829,291596
1420200098851,PI,ALLOCATED,O,MAURER UNIT B,1,42123325040000,,827,522,,,,,,,,677,0,,1063,0,,2,1883,0,,3,36142,52609,,6,120405,190621,,12,120405,190621,,12,121232,191143,120405,190621
1420200098991,PI,ALLOCATED,O,KLOTZMAN,1,42123324950000,,44141,46934,1226,1728,,48,2011-11-08,,2011-11-08,31157,54272,958,55531,96843,1806,2,76761,131824,2642,3,130844,237168,5348,6,235133,444598,15083,12,263451,518449,25883,17,307592,565383,145022,309515
1420200098992,PI,ALLOCATED,O,KLOTZMAN,2,42123326030000,,19867,18739,88,1131,,5,2012-04-02,,2012-04-02,11631,12716,171,24308,31130,515,2,57729,65765,1935,3,106249,113938,5837,6,149503,174082,20455,12,149503,174082,20455,12,169370,192821,149503,174082
1420200098993S,PI,ALLOCATED,O,KLOTZMAN,3S,42123326040100,,539,,,1032,,142,2012-06-22,,2012-06-22,13660,10266,1880,53255,29030,7328,2,82820,40066,11396,3,137449,57668,18913,6,264218,113963,36356,11,264218,113963,36356,11,264757,113963,264757,113963
1420200098994,PI,ALLOCATED,O,KLOTZMAN,4,42123326050000,,17233,15634,1707,1302,,129,2012-06-22,,2012-06-22,44853,38710,4527,74533,65693,7593,2,94210,87588,9685,3,130137,133579,13901,6,151349,189319,17692,10,151349,189319,17692,10,168582,204953,168582,204953
1420200098995S,PI,ALLOCATED,O,KLOTZMAN,5S,42123326060000,,15632,16421,2899,1181,,219,2012-06-24,,2012-06-24,41149,117567,8134,68765,227467,14006,2,87405,331477,18320,3,123648,597175,28996,6,152298,1099725,44541,10,152298,1099725,44541,10,167930,1116146,167930,1116146
1420200098996,PI,ALLOCATED,O,KLOTZMAN,6,42123326070000,,22641,18334,889,790,,31,2012-08-30,,2012-08-30,15230,17235,588,26007,34563,996,2,32928,39779,1264,3,60201,105633,2301,6,66594,138163,2555,8,66594,138163,2555,8,89235,156497,89235,156497
1420200098997,PI,ALLOCATED,O,KLOTZMAN,7,42123326080000,,16844,11210,262,773,,12,2012-09-11,,2012-09-11,11926,10859,249,19591,14051,464,2,32421,26602,954,3,54626,63896,2740,6,57034,72590,3082,7,57034,72590,3082,7,73878,83800,73878,83800
1420200098998,PI,ALLOCATED,O,KLOTZMAN,8,42123326090000,,11397,6813,2528,523,,116,2012-09-11,,2012-09-11,7994,9064,2572,13067,12182,4905,2,21403,25556,10435,3,34723,66055,31618,6,35992,74915,35765,7,35992,74915,35765,7,47389,81728,47389,81728
