Entity,Source,Entity Type,Primary Product,Lease Name,Well Number,API,Regulatory API,Hole Direction,Unit Well Number,Depth Total Maximum,Perforation Upper,Perforation Lower,Status Prod Current Name,Surface Latitude,Surface Longitude,Surface LL Source,Type Name,Date Completion,Date Abandonment,Play Name,Play Type
242010250616,PI,WELL,G,TARTT EMMA ET AL,16,42013342210001,250616,VERTICAL,1,10850,10240,10290,INACTIVE,+28.79860, -98.17931,TS,SHUT IN-GENERAL,2009-01-27,,,
242010264109,PI,WELL,G,JUPE A,1H,42013343820000,264109,HORIZONTAL,1,15770,8565,15666,INACTIVE,+28.75636, -98.67409,TS,SHUT IN-GENERAL,2011-08-14,,,
242030236190,PI,WELL,G,SANTE FE A,2,42051324200001,236190,VERTICAL,1,10495,10320,10430,ACTIVE,+30.37100, -96.50385,TS,ACTIVE PRODUCING-GENERAL,2008-03-05,,,
242030241432,PI,WELL,G,SANTA FE A,1,42051314870001,241432,VERTICAL,1,10495,10290,10410,ACTIVE,+30.37070, -96.50855,TS,ACTIVE PRODUCING-GENERAL,2008-03-17,,,
242030242983,PI,WELL,G,BOULDEN F,1,42051317330001,242983,VERTICAL,1,10180,9940,10006,ACTIVE,+30.41904, -96.48243,TS,ACTIVE PRODUCING-GENERAL,2008-09-21,,,
21706130266020720502,PI,ALLOCATED,G,INTERNATIONAL PAPER CO 30,002,17085217740000,207205,VERTICAL,1,3800,3354,3360,INACTIVE,+31.62424, -93.49469,TS,ABANDONED-GENERAL,,,,
21706130266020720503,PI,ALLOCATED,G,INTERNATIONAL PAPER CO 30,002,17085217740000,207205,VERTICAL,1,3800,3354,3360,ACTIVE,+31.62424, -93.49469,TS,ACTIVE PRODUCING-GENERAL,,,,
142020P58043MULTIWELL01,PI,ALLOCATED,O,RANKIN ETAL 142,MULTI,42107314790000,,VERTICAL,1,,,,ACTIVE,+33.52768, -101.47479,TS,ACTIVE PRODUCING-GENERAL,,,,
1420200095971,PI,ALLOCATED,O,SCHENDEL A-303,1,42123323550000,,HORIZONTAL,1,17515,12877,13003,ACTIVE,+29.01233, -97.71304,TS,ACTIVE PRODUCING-GENERAL,2010-11-03,,,
1420200095972,PI,ALLOCATED,O,SCHENDEL A-303,2,42123323740000,,HORIZONTAL,1,17806,12827,13078,ACTIVE,+29.02145, -97.71313,TS,ACTIVE PRODUCING-GENERAL,2011-02-01,,,
1420200096211 H,PI,ALLOCATED,O,D & S,1 H,42123323440000,,HORIZONTAL,1,16687,13033,13257,INACTIVE,+29.02998, -97.66870,TS,SHUT IN-GENERAL,2010-10-14,,,
1420200096251,PI,ALLOCATED,O,SCHENDEL A-303 B,1,42123323740100,,HORIZONTAL,1,17806,12827,13078,INACTIVE,+29.02145, -97.71313,TS,ABANDONED-GENERAL,2011-02-01,,,
1420200096301 H,PI,ALLOCATED,O,D & S,1 H,42123323440000,,HORIZONTAL,1,16687,13033,13257,ACTIVE,+29.02998, -97.66870,TS,ACTIVE PRODUCING-GENERAL,2010-10-14,,,
1420200096891,PI,ALLOCATED,O,ADAMS UNIT A,1,42123324000000,,HORIZONTAL,1,19166,13196,18960,ACTIVE,+29.10453, -97.56687,TS,ACTIVE PRODUCING-GENERAL,,,,
1420200097191,PI,ALLOCATED,O,C W HAHN UNIT A,1,42123324300000,,HORIZONTAL,1,18549,12807,12923,ACTIVE,+29.06642, -97.65437,TS,ACTIVE PRODUCING-GENERAL,2011-05-21,,,
1420200097211,PI,ALLOCATED,O,SCHMIDT UNIT A,1,42123324700000,,HORIZONTAL,1,17690,12650,13172,ACTIVE,+29.06066, -97.63720,TS,ACTIVE PRODUCING-GENERAL,2011-07-12,,,
1420200097241,PI,ALLOCATED,O,G KLEIN UNIT D,1,42123324400000,,HORIZONTAL,1,17542,12499,12842,ACTIVE,+29.05090, -97.66642,TS,ACTIVE PRODUCING-GENERAL,2011-06-26,,,
1420200097251,PI,ALLOCATED,O,RUCKA UNIT A,1,42123324570100,,HORIZONTAL,1,18395,12468,12976,ACTIVE,+29.10682, -97.59799,TS,ACTIVE PRODUCING-GENERAL,2011-07-11,,,
1420200097311,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,1,42123323390100,,HORIZONTAL,1,17324,12611,13180,ACTIVE,+28.99265, -97.71666,TS,ACTIVE PRODUCING-GENERAL,2011-03-13,,,
1420200097312,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,2,42123323880000,,HORIZONTAL,1,17316,12769,13232,ACTIVE,+28.99580, -97.71512,TS,ACTIVE PRODUCING-GENERAL,2011-07-29,,,
1420200097313,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,3,42123323980000,,HORIZONTAL,1,18057,12906,12994,ACTIVE,+29.00233, -97.73726,TS,ACTIVE PRODUCING-GENERAL,2011-06-07,,,
1420200097314,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,4,42123323990000,,HORIZONTAL,1,18246,12510,12956,ACTIVE,+29.00233, -97.73731,TS,ACTIVE PRODUCING-GENERAL,2011-05-04,,,
1420200097316,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,6,42123327080000,,HORIZONTAL,1,16327,12336,12622,ACTIVE,+29.01828, -97.72592,TS,ACTIVE PRODUCING-GENERAL,2012-07-07,,,
1420200097317,PI,ALLOCATED,O,RUCKMAN RANCH UNIT,7,42123327090000,,HORIZONTAL,1,17218,12454,12698,ACTIVE,+29.01773, -97.72602,TS,ACTIVE PRODUCING-GENERAL,2012-10-17,,,
1420200097421,PI,ALLOCATED,O,RICE UNIVERSITY,1,42123323240100,,HORIZONTAL,1,17712,12948,13232,ACTIVE,+29.04894, -97.62827,TS,ACTIVE PRODUCING-GENERAL,2011-02-18,,,
1420200097422,PI,ALLOCATED,O,RICE UNIVERSITY,2,42123324560000,,HORIZONTAL,1,18422,13005,13098,ACTIVE,+29.06112, -97.63729,TS,ACTIVE PRODUCING-GENERAL,2011-06-17,,,
1420200097423,PI,ALLOCATED,O,RICE UNIVERSITY,3,42123324770000,,HORIZONTAL,1,18430,13036,13174,ACTIVE,+29.04917, -97.64645,TS,ACTIVE PRODUCING-GENERAL,2011-09-10,,,
1420200097551,PI,ALLOCATED,O,G KLEIN UNIT C,1,42123324580100,,HORIZONTAL,1,19071,12623,13284,ACTIVE,+29.04024, -97.67233,TS,ACTIVE PRODUCING-GENERAL,2011-08-03,,,
1420200097711,PI,ALLOCATED,O,G KLEIN UNIT B,1,42123324590000,,HORIZONTAL,1,17772,12657,13268,ACTIVE,+29.04028, -97.67233,TS,ACTIVE PRODUCING-GENERAL,2011-08-20,,,
1420200097721,PI,ALLOCATED,O,KLAEVEMANN UNIT A,1,42123324870000,,HORIZONTAL,1,17536,13097,17078,ACTIVE,+29.10197, -97.58229,TS,ACTIVE PRODUCING-GENERAL,2011-09-15,,,
1420200097741,PI,ALLOCATED,O,G KLEIN UNIT E,1,42123325240000,,HORIZONTAL,1,16753,12426,12829,ACTIVE,+29.05339, -97.66442,TS,ACTIVE PRODUCING-GENERAL,2011-10-03,,,
1420200097951,PI,ALLOCATED,O,VASBINDER UNIT A,1,42123325080000,,HORIZONTAL,1,18760,13245,13410,ACTIVE,+29.01657, -97.68532,TS,ACTIVE PRODUCING-GENERAL,2011-09-15,,,
1420200097961,PI,ALLOCATED,O,A MUELLER UNIT A,1,42123325090000,,HORIZONTAL,1,17683,12870,13168,ACTIVE,+29.09506, -97.58645,TS,ACTIVE PRODUCING-GENERAL,2011-08-23,,,
1420200098221,PI,ALLOCATED,O,THIELE UNIT B,1,42123324690000,,HORIZONTAL,1,17829,12628,12862,ACTIVE,+29.09503, -97.58646,TS,ACTIVE PRODUCING-GENERAL,2011-08-03,,,
1420200098241,PI,ALLOCATED,O,R MEISCHEN UNIT A,1,42123325170000,,HORIZONTAL,1,18207,12719,13011,ACTIVE,+29.04917, -97.64646,TS,ACTIVE PRODUCING-GENERAL,2011-09-29,,,
1420200098381H,PI,ALLOCATED,O,LESKE-LOTT UNIT,1H,42123324060000,,HORIZONTAL,1,14969,12750,13188,ACTIVE,+29.17051, -97.42186,TS,ACTIVE PRODUCING-GENERAL,2011-08-23,,,
1420200098382H,PI,ALLOCATED,O,LESKE-LOTT UNIT,2H,42123327510000,,HORIZONTAL,1,18282,13174,13643,ACTIVE,+29.15924, -97.40740,TS,ACTIVE PRODUCING-GENERAL,2012-07-15,,,
1420200098383H,PI,ALLOCATED,O,LESKE-LOTT UNIT,3H,42123327810000,,HORIZONTAL,1,18307,13166,13835,ACTIVE,+29.15871, -97.40951,TS,ACTIVE PRODUCING-GENERAL,2012-07-26,,,
1420200098384H,PI,ALLOCATED,O,LESKE-LOTT UNIT,4H,42123328380000,,HORIZONTAL,1,18333,13132,13708,ACTIVE,+29.15782, -97.41275,TS,ACTIVE PRODUCING-GENERAL,2012-12-10,,,
1420200098421,PI,ALLOCATED,O,H&H UNIT B,1,42123325580000,,HORIZONTAL,1,17818,12230,12560,ACTIVE,+29.04230, -97.69820,TS,ACTIVE PRODUCING-GENERAL,2011-10-24,,,
1420200098461,PI,ALLOCATED,O,R MEISCHEN UNIT B,1,42123325270000,,HORIZONTAL,1,17400,12773,12958,ACTIVE,+29.05375, -97.66409,TS,ACTIVE PRODUCING-GENERAL,2011-10-26,,,
1420200098501H,PI,ALLOCATED,O,FRANCES LEWTON,1H,42123324140000,,HORIZONTAL,1,18646,13148,13605,ACTIVE,+29.27216, -97.30736,TS,ACTIVE PRODUCING-GENERAL,2011-11-16,,,
1420200098731,PI,ALLOCATED,O,MAURER UNIT A,1,42123325030000,,HORIZONTAL,1,18183,12118,12820,ACTIVE,+29.14255, -97.52930,TS,ACTIVE PRODUCING-GENERAL,2011-10-07,,,
1420200098851,PI,ALLOCATED,O,MAURER UNIT B,1,42123325040000,,HORIZONTAL,1,17045,12183,12867,ACTIVE,+29.14259, -97.52928,TS,ACTIVE PRODUCING-GENERAL,2011-10-26,,,
1420200098991,PI,ALLOCATED,O,KLOTZMAN,1,42123324950000,,HORIZONTAL,1,18015,12962,17905,ACTIVE,+29.12424, -97.55139,TS,ACTIVE PRODUCING-GENERAL,,,,
1420200098992,PI,ALLOCATED,O,KLOTZMAN,2,42123326030000,,HORIZONTAL,1,17756,12236,12924,ACTIVE,+29.12458, -97.55120,TS,ACTIVE PRODUCING-GENERAL,2012-03-25,,,
1420200098993S,PI,ALLOCATED,O,KLOTZMAN,3S,42123326040100,,HORIZONTAL,1,17992,12217,12969,ACTIVE,+29.12664, -97.54935,TS,ACTIVE PRODUCING-GENERAL,2012-05-30,,,
1420200098994,PI,ALLOCATED,O,KLOTZMAN,4,42123326050000,,HORIZONTAL,1,17762,12220,13221,ACTIVE,+29.12669, -97.54930,TS,ACTIVE PRODUCING-GENERAL,2012-05-30,,,
1420200098995S,PI,ALLOCATED,O,KLOTZMAN,5S,42123326060000,,HORIZONTAL,1,18464,12208,12972,ACTIVE,+29.12675, -97.54926,TS,ACTIVE PRODUCING-GENERAL,2012-05-30,,,
1420200098996,PI,ALLOCATED,O,KLOTZMAN,6,42123326070000,,HORIZONTAL,1,18153,12229,12992,ACTIVE,+29.12978, -97.54649,TS,ACTIVE PRODUCING-GENERAL,2012-06-27,,,
