Entity,Source,Entity Type,Primary Product,Province State Name,District Name,County Name,Basin Name,Operator Name,Field Name,Prod Zone Name,Lease Name,Lease Number,Well Number,Location,Gatherer Gas,Gatherer Liquid,Status Date,Status Current Name,Date Production Start,Date Production Stop,Date Injection Start,Date Injection Stop,Pool Name,Temperature Gradient,N Factor
242010250616,PI,WELL,G,TEXAS,TEXAS DISTRICT 01,ATASCOSA,GULF COAST BASIN,XTO ENERGY INCORPORATED,FASHING,EAGLE FORD,TARTT EMMA ET AL,250616,16,SEC:144 BLK: SRV:WILKINSON JAMES ABS:882,PUEBM,FLINH,2013-05-15,INACTIVE,2009-01-01,2012-02-29,,,EAGLE FORD,1.8,
242010264109,PI,WELL,G,TEXAS,TEXAS DISTRICT 01,ATASCOSA,GULF COAST BASIN,COMSTOCK OIL & GAS LIMITED PARTNERSHIP,EAGLEVILLE,EAGLE FORD,JUPE A,264109,1H,SEC:1732 BLK: SRV:I&GN RR CO ABS:434,REGEF,SHLTR,2012-06-15,INACTIVE,2011-09-01,2011-09-30,,,EAGLE FORD-1,,
242030236190,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS SOUTH DIST 3,EAGLE FORD,SANTE FE A,236190,2,SEC:B BLK: SRV:LASTLEY JAMES ABS:35,ENETR,GULFM,,ACTIVE,2008-03-01,2013-05-31,,,EAGLE FORD,,
242030241432,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS SOUTH DIST 3,EAGLE FORD,SANTA FE A,241432,1,SEC:B BLK: SRV:LASTLEY JAMES ABS:35,ENETR,GULFM,,ACTIVE,2008-03-01,2013-05-31,,,EAGLE FORD,,
242030242983,PI,WELL,G,TEXAS,TEXAS DISTRICT 03,BURLESON,GULF COAST BASIN,APACHE CORPORATION,GIDDINGS,EAGLE FORD,BOULDEN F,242983,1,SEC: BLK: SRV:GUILD ALFRED R ABS:27,ENETR,GULFM,,ACTIVE,2008-09-01,2013-05-31,,,EAGLE FORD,1.8,
21706130266020720502,PI,ALLOCATED,G,LOUISIANA,SHREVEPORT,SABINE,ARKLA BASIN,PERKINS OIL PROPERTIES INCORPORATED,EBARB SCHOOL,EAGLE FORD,INTERNATIONAL PAPER CO 30,302660,002,7N 11W 4 NW NE NE,CREST,,,INACTIVE,2010-01-01,2011-12-31,,,,1.7,
21706130266020720503,PI,ALLOCATED,G,LOUISIANA,SHREVEPORT,SABINE,ARKLA BASIN,PERKINS OIL PROPERTIES INCORPORATED,EBARB SCHOOL,EAGLE FORD,INTERNATIONAL PAPER CO 30,302660,002,7N 11W 4 NW NE NE,CREST,,,ACTIVE,2012-01-01,2013-03-31,,,,1.7,
142020P58043MULTIWELL01,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,CROSBY,PERMIAN BASIN,PIONEER NATURAL RESOURCES USA INC,EAGLE RIDGE,EAGLE FORD,RANKIN ETAL 142,,MULTI,SEC:1 BLK:D19 SRV:TORREY JOHN F & CO ABS:412,,,,ACTIVE,2012-09-01,2013-01-31,,,EAGLE FORD SHALE,,
1420200095971,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHENDEL A-303,009597,1,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,BPPRN,,ACTIVE,2011-01-01,2013-04-30,,,EAGLE FORD-2,,
1420200095972,PI,ALLOCATED,O,TEXAS,TEXAS DISTRICT 02,DE WITT,GULF COAST BASIN,BURLINGTON RESOURCES O&G CO LP,EAGLEVILLE,EAGLE FORD,SCHENDEL A-303,009597,2,SEC: BLK: SRV:LYTTE WILLIAM L ABS:303,BURLR,BPPRN,,ACTIVE,2011-03-01,2013-04-30,,,EAGLE FORD-2,,
