UWI,Source,API Number,IC Number,Operator Name,Current Operator Name,Lease Name,Well Num,Field Name,State Name,County Name,Hole Direction,Well Status,Current Status,Geologic Province Name,Play Name,Play Type,Permit Number,Permit Date,Depth Total Driller,Depth Total Logger,Depth True Vertical,Depth Whipstock,Class Initial Name,Class Initial Code,Class Final Name,Class Final Code,Status Final Code,Formation Projected Name,Depth Total Projected,Formation at TD Name,Formation Producing Name,Elevation Reference Value,Elevation Reference Datum,Ground Elevation,Date Spud,Date Completion,Date Rig Release,Date Abandonment,Date First Report,Date Last Activity,Depth Water Value,Depth Water Datum,Surface Latitude,Surface Longitude,Surface LL Source,Proposed BH Latitude,Proposed BH Longitude,Proposed BH LL Source,BH Latitude,BH Longitude,BH LL Source,Activity Code,Permit Filer Long,Permit Phone
42013342210001,PI,42013342210001,,XTO ENERGY INC,XTO ENERGY INCORPORATED,TARTT EMMA,16,FASHING,TEXAS,ATASCOSA,VERTICAL,GAS-WO,P,GULF COAST BASIN,,,677972,"Dec 23, 2008",10850,,,,DEVELOPMENT RECOMPLETION,D X,DEVELOPMENT WELL-GAS,DG,2,EDWARDS,10850,EDWARDS,EAGLE FORD,,,429,"Jan 02, 2009","Jan 31, 2009",,,"Feb 03, 2009","Jan 20, 2011",,,+28.7986000, -98.1793100,TS,,,,,,,C,,7137566244
42013342710000,PI,42013342710000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,LITTLE  L&C,1H,UNNAMED,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,684336,"Aug 21, 2009",11675,,8206,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,AUSTIN /CHALK/ GROUP/,10000,EAGLE FORD,EAGLE FORD,376,KB,358,"Sep 07, 2009","Feb 06, 2010","Oct 28, 2009",,"Aug 24, 2009","Mar 25, 2013",,,+28.9539300, -98.3318600,TS,+28.9429700, -98.3311200,TS,+28.9429800, -98.3310500,TS,C,,3618839231
42013342730000,PI,42013342730000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,2H,WILDCAT,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,684946,"Sep 10, 2009",14264,,9627,,NEW FIELD WILDCAT,WF,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11000,EAGLE FORD,EAGLE FORD,,,267,"Oct 18, 2009","Jan 04, 2010","Dec 13, 2009",,"Sep 11, 2009","Oct 09, 2012",,,+28.7285800, -98.4556600,TS,+28.7148500, -98.4487700,TS,+28.7155200, -98.4492100,TS,C,,5124956300
42013342780100,PI,42013342780100,,DEWBRE PETRO CORP,ARGENT ENERGY US HOLDINGS INCORPORATED,PEELER RANCH,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL-WO,A,GULF COAST BASIN,,,701195,"Aug 27, 2010",13630,,9760,,DEVELOPMENT REDRILL,D R,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,9750,EAGLE FORD,EAGLE FORD,,,280,"Aug 28, 2010","Mar 19, 2011",,,"Aug 30, 2010","Jul 08, 2013",,,+28.6972300, -98.4708500,TS,+28.6876800, -98.4628600,TS,+28.6876800, -98.4628600,TS,C,,3618887978
42013342790000,PI,42013342790000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,11H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,688038,"Dec 01, 2009",14210,,9661,,NEW FIELD WILDCAT,WF,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,264,"Dec 13, 2009","Jun 20, 2010","Dec 29, 2009",,"Dec 02, 2009","Oct 30, 2012",,,+28.7264500, -98.4501900,TS,+28.7158500, -98.4402400,TS,+28.7158800, -98.4403800,TS,C,,5124956300
42013342820000,PI,42013342820000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,10H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,688888,"Dec 22, 2009",14128,,9647,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,263,"Jan 04, 2010","Mar 19, 2010","Jan 20, 2010",,"Dec 23, 2009","Oct 09, 2012",,,+28.7205500, -98.4559900,TS,+28.7079100, -98.4499400,TS,+28.7082900, -98.4500100,TS,C,,3618839231
42013342840000,PI,42013342840000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,12H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,689151,"Jan 06, 2010",14220,,9636,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,271,"Jan 25, 2010","Jun 20, 2010","Feb 10, 2010",,"Jan 07, 2010","Oct 09, 2012",,,+28.7294900, -98.4474100,TS,+28.7189100, -98.4375400,TS,+28.7190100, -98.4378300,TS,C,,
42013342850000,PI,42013342850000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,689854,"Jan 20, 2010",14000,,9647,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,292,"Feb 27, 2010","Jun 21, 2010","Mar 15, 2010",,"Jan 21, 2010","Oct 30, 2012",,,+28.7337600, -98.4409600,TS,+28.7230900, -98.4309700,TS,+28.7238200, -98.4313700,TS,C,,
42013342860000,PI,42013342860000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH,9,EAGLEVILLE,TEXAS,ATASCOSA,VERTICAL,OBSERV,A,GULF COAST BASIN,,,690711,"Feb 05, 2010",9700,,9699,,NEW FIELD WILDCAT,WF,UNCLASSIFIED,U,9,,11200,EAGLE FORD,,,,260,"Feb 15, 2010","Feb 27, 2010","Feb 27, 2010",,"Feb 08, 2010","Jan 30, 2013",,,+28.7246900, -98.4402600,TS,,,,+28.7248100, -98.4403000,TS,C,,5124956300
42013342890000,PI,42013342890000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH WEST,111H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,691360,"Feb 24, 2010",13691,,9457,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11000,EAGLE FORD,EAGLE FORD,,,299,"Apr 08, 2010","Sep 28, 2010","Apr 23, 2010",,"Feb 25, 2010","Oct 09, 2012",,,+28.7114600, -98.5021300,TS,+28.7013400, -98.4923900,TS,+28.7014900, -98.4925400,TS,C,,
42013342900000,PI,42013342900000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,PEELER RANCH UNIT,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,692135,"Mar 05, 2010",14205,,9625,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,11500,EAGLE FORD,EAGLE FORD,,,271,"Mar 19, 2010","Jun 21, 2010","Apr 05, 2010",,"Mar 08, 2010","Oct 09, 2012",,,+28.7306300, -98.4432300,TS,+28.7200500, -98.4332600,TS,+28.7201000, -98.4332000,TS,C,,5124956300
42013342910100,PI,42013342910100,,XTO ENERGY INC,XTO ENERGY INCORPORATED,TARTT EMMA,17H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL-WO,A,GULF COAST BASIN,,,692262,"Mar 05, 2010",17000,17000,10220,,DEVELOPMENT REDRILL,D R,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,18000,EAGLE FORD,EAGLE FORD,474,KB,448,"Jul 28, 2010","Oct 24, 2010",,,"Mar 08, 2010","May 28, 2013",,,+28.7893200, -98.1676700,TS,+28.8048300, -98.1816000,TS,+28.8046017, -98.1806610,IH,C,,7138714713
42013343040000,PI,42013343040000,,EOG RESOURCES INC,EOG RESOURCES INCORPORATED,LITTLE L & C,2H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,695015,"Apr 27, 2010",11900,,8241,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,EAGLE FORD,10000,EAGLE FORD,EAGLE FORD,,,393,"Jul 10, 2010","Aug 21, 2010","Jul 25, 2010",,"Apr 28, 2010","Oct 09, 2012",,,+28.9526200, -98.3424200,TS,+28.9431000, -98.3349200,TS,+28.9431000, -98.3349200,TS,C,,
42013343060000,PI,42013343060000,,MARATHON OIL EF LLC,MARATHON OIL EF LLC,HIERHOLZER UNIT,1H,EAGLEVILLE,TEXAS,ATASCOSA,HORIZONTAL,OIL,A,GULF COAST BASIN,,,696455,"May 25, 2010",15786,15786,10495,,DEVELOPMENT WELL,D,DEVELOPMENT WELL-OIL,DO,1,CRETACEOUS,13500,EAGLE FORD,AUSTIN /CHALK/ GROUP/,,,429,"May 27, 2010","Apr 28, 2011",,,"May 26, 2010","Jul 17, 2013",,,+28.7768700, -98.1541300,TS,+28.7881100, -98.1632000,TS,+28.7887100, -98.1635300,TS,C,,2105614204
