UWI,Source,Test Type,Test Number,Number,Type,Depth Top,Depth Base,Fluid Amount,Fluid Units,Fluid Type,Propping Agent Amount,Propping Agent Units,Propping Agent Type,Pressure Breakdown,Injection Rate,Additive,Stage,Mesh Size,Remark
4.20133E+13,PI,IP,1,1,FRAC,10240,10290,,,,201000,LB,SAND,,,,,,"DETAILS: 75500# 100, 125500# 40/70 RCS"
4.20133E+13,PI,IP,1,1,FRAC,8390,8396,,,,175000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 75000# CARBOLITE"
4.20133E+13,PI,IP,1,2,FRAC,8547,8553,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,3,FRAC,8697,8703,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,4,FRAC,8850,8856,,,,184194,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 84194# CARBOLITE"
4.20133E+13,PI,IP,1,5,FRAC,9047,9053,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,6,FRAC,9200,9206,,,,936000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 836000# CARBOLITE"
4.20133E+13,PI,IP,1,7,FRAC,9347,9353,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,8,FRAC,9497,9503,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,9,FRAC,9533,9647,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,10,FRAC,9797,9803,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,11,FRAC,9947,9953,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,12,FRAC,10097,10103,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,13,FRAC,10256,10282,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,14,FRAC,10397,10403,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,15,FRAC,10547,10553,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,16,FRAC,10686,10692,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,17,FRAC,10847,10853,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,18,FRAC,10997,11003,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,19,FRAC,11147,11153,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
4.20133E+13,PI,IP,1,20,FRAC,11297,11303,,,,200000,LB,SAND,,,,,40/80,"DETAILS: 100000# HYDROPROP, 100000# CARBOLITE"
