UWI,Source,Num Frac Stages,Num Treatment Records,Proppant - Sand (lbs),Proppant - Ceramic (lbs),Fluid/Water (Gals),N2/CO2 Gas (Gals),Acid (Gals),Gel/x-link (Gals)
42013342210001,PI,1,1,201000,0,0,0,0,0
42013342710000,PI,22,22,4974250,0,0,0,0,0
42013342730000,PI,25,25,4588000,0,0,0,0,0
42013342780100,PI,1,1,900,0,0,0,0,0
42013342790000,PI,15,15,3662200,0,0,0,0,0
42013342820000,PI,28,28,5316480,0,0,0,0,0
42013342840000,PI,12,12,3101450,0,0,0,0,0
42013342850000,PI,14,14,7802866,0,0,0,0,0
42013342890000,PI,13,13,2726242,0,0,0,0,0
42013342900000,PI,14,14,4035560,0,0,0,0,0
42013342910100,PI,19,19,3184319,0,0,0,0,0
42013343040000,PI,12,12,4722690,0,0,0,0,0
42013343110000,PI,15,15,3118278,0,0,0,0,0
42013343140100,PI,16,16,4964597,0,0,0,0,0
42013343150000,PI,2,2,432,0,0,0,0,0
42013343160000,PI,1,1,1857,0,0,0,0,0
42013343180000,PI,1,1,2138,0,0,0,0,0
42013343190000,PI,1,1,1529,0,0,0,0,0
42013343210000,PI,1,1,3319,0,0,0,0,0
42013343220000,PI,1,1,2192,0,0,0,0,0
42013343230000,PI,1,1,1542,0,0,0,0,0
42013343260000,PI,1,1,2084,0,0,0,0,0
42013343290000,PI,1,1,2724,0,98095,0,0,0
42013343320000,PI,1,1,2325,0,0,0,0,0
42013343330000,PI,1,1,2167,0,0,0,0,0
42013343340100,PI,15,15,3360158,0,0,0,0,0
42013343350000,PI,1,1,2055,0,0,0,0,0
42013343380000,PI,17,17,2441604,0,0,0,0,0
42013343390000,PI,16,16,2381222,0,0,0,0,0
42013343400000,PI,1,1,0,0,0,0,0,0
42013343410000,PI,1,1,1792,0,159250,0,0,0
42013343420000,PI,1,1,1920,0,170625,0,0,0
42013343430000,PI,15,15,4001673,0,0,0,0,0
42013343440000,PI,13,13,3472736,0,0,0,0,0
42013343450000,PI,1,1,1497,0,0,0,0,0
42013343470000,PI,1,1,2464,0,0,0,0,0
42013343490000,PI,1,1,2222,0,0,0,0,0
42013343510000,PI,29,29,5879871,0,0,0,0,0
42013343520000,PI,1,1,2065,0,0,0,0,0
42013343530000,PI,16,16,4851770,0,0,0,0,0
42013343540000,PI,1,1,2445,0,0,0,0,0
42013343550000,PI,18,18,4208400,0,0,0,0,0
42013343590000,PI,1,2,2648,0,0,0,835,0
42013343600000,PI,15,16,3424988,0,0,0,0,0
42013343620000,PI,1,2,0,0,0,0,0,0
42013343630000,PI,1,2,3596,0,0,0,1805,0
42013343640000,PI,11,12,3209620,0,0,0,0,0
42013343650000,PI,1,1,3299,0,0,0,0,0
42013343660000,PI,1,2,3585,0,0,0,1805,0
42013343670000,PI,1,2,3237,0,0,0,1615,0
42013343680000,PI,1,1,2988,0,0,0,0,0
42013343700000,PI,1,1,3510,0,0,0,0,0
42013343710000,PI,22,22,2933726,0,0,0,0,0
42013343720000,PI,15,15,2133540,0,0,0,0,0
42013343730000,PI,17,17,2526806,0,0,0,0,0
42013343750000,PI,1,2,3150,0,0,0,1710,0
42013343760000,PI,1,1,3290,0,0,0,0,0
42013343770000,PI,15,15,2583261,0,0,0,0,0
42013343780000,PI,1,2,2974,0,0,0,1520,0
42013343810000,PI,1,1,1945,0,0,0,0,0
42013343820000,PI,18,36,5624707,0,0,0,95550,0
42013343830000,PI,1,1,1262,0,0,0,0,0
42013343840000,PI,22,22,2933726,0,0,0,0,0
42013343850000,PI,17,17,4178250,0,0,0,0,0
42013343860000,PI,17,17,4097882,0,0,0,0,0
42013343920000,PI,20,20,4977600,0,0,0,0,0
42013343940000,PI,13,27,1570857,0,111600,0,12978,0
42013343960000,PI,1,1,0,0,0,0,0,0
42013343980000,PI,14,14,2370973,0,0,0,0,0
42013343990000,PI,1,2,5848,0,0,0,2945,0
42013344000000,PI,1,1,0,0,0,0,0,0
42013344010000,PI,14,14,2344581,0,0,0,0,0
42013344030000,PI,1,2,6017,0,0,0,2945,0
42013344040000,PI,1,2,4211,0,0,0,2185,0
42013344070000,PI,1,1,0,0,0,0,0,0
42013344110000,PI,1,2,2855,0,0,0,41079,0
42013344120000,PI,13,13,3072179,0,0,0,0,0
42013344130000,PI,1,2,2221,0,0,0,1710,0
42013344160000,PI,13,13,2994330,0,0,0,0,0
42013344180000,PI,11,11,2646986,0,0,0,0,0
42013344200000,PI,12,12,2817740,0,0,0,0,0
42013344210000,PI,10,11,2273320,0,0,0,0,0
42013344220000,PI,14,28,3843159,0,143274,0,1256,0
42013344230000,PI,1,1,77719,0,0,0,0,0
42013344240000,PI,1,1,2606,0,0,0,0,0
42013344250000,PI,13,26,3048050,0,124397,0,1950,0
42013344260000,PI,1,1,4538,0,0,0,0,0
42013344270000,PI,1,1,1403,0,0,0,0,0
42013344280000,PI,13,21,2386681,0,0,0,405,0
42013344310000,PI,1,1,3768,0,0,0,0,0
42013344320000,PI,1,1,3944,0,0,0,0,0
42013344330000,PI,1,2,3540,0,0,0,1805,0
