UWI,Source,Test Type,Test Number,Number,Depth Top,Depth Base,Lat Len Horiz Displacement (ft),Lat Len Gross Perf Intvl,Prod Method
42013342210001,PI,IP,001,1,10240,10250,,10,PERF
42013342210001,PI,IP,001,2,10256,10264,,8,PERF
42013342210001,PI,IP,001,3,10270,10290,,20,PERF
42013342210001,PI,PT,002,1,10338,10374,,36,PERF
42013342210001,PI,PT,002,2,10559,10590,,31,PERF
42013342710000,PI,IP,001,1,8390,8396,4006,6,PERF
42013342710000,PI,IP,001,2,8547,8553,4006,6,PERF
42013342710000,PI,IP,001,3,8697,8703,4006,6,PERF
42013342710000,PI,IP,001,4,8850,8856,4006,6,PERF
42013342710000,PI,IP,001,5,9047,9053,4006,6,PERF
42013342710000,PI,IP,001,6,9200,9206,4006,6,PERF
42013342710000,PI,IP,001,7,9347,9353,4006,6,PERF
42013342710000,PI,IP,001,8,9497,9503,4006,6,PERF
42013342710000,PI,IP,001,9,9533,9647,4006,114,PERF
42013342710000,PI,IP,001,10,9797,9803,4006,6,PERF
42013342710000,PI,IP,001,11,9947,9953,4006,6,PERF
42013342710000,PI,IP,001,12,10097,10103,4006,6,PERF
42013342710000,PI,IP,001,13,10256,10282,4006,26,PERF
42013342710000,PI,IP,001,14,10397,10403,4006,6,PERF
42013342710000,PI,IP,001,15,10547,10553,4006,6,PERF
42013342710000,PI,IP,001,16,10686,10692,4006,6,PERF
42013342710000,PI,IP,001,17,10847,10853,4006,6,PERF
42013342710000,PI,IP,001,18,10997,11003,4006,6,PERF
42013342710000,PI,IP,001,19,11147,11153,4006,6,PERF
42013342710000,PI,IP,001,20,11297,11303,4006,6,PERF
42013342710000,PI,IP,001,21,11446,11452,4006,6,PERF
42013342710000,PI,IP,001,22,11524,11527,4006,3,PERF
42013342730000,PI,IP,001,1,10080,10086,5199,6,PERF
42013342730000,PI,IP,001,2,10225,10231,5199,6,PERF
42013342730000,PI,IP,001,3,10375,10381,5199,6,PERF
