Unique Private Well ID,Unique Well ID,Project,Project Code,Calibration Set Code,Well Latitude,Well Longitude,Operator Name,Well Name,Offshore Area,Offshore Block Number,Prospect,Basin,Country,State,County,Minimum Geologic Age,Maximum Geologic Age,KB Elevation,Water Depth,Ground Level,Water Depth/Ground Level Units,KB Elevation - Feet,Water Depth - Feet,Ground Level - Feet,KB Elevation - Meters,Water Depth - Meters,Ground Level - Meters,Unique Sample ID,Sample Analytical Group,Public Sample ID,Public Sample Canister ID,Depth,Depth - Log Corrected,Depth Bottom,Depth Units,Depth - Feet,Depth Bottom - Feet,Depth - Meters,Depth Bottom - Meters,Sample Group,Sample Formation,Sample Member,Sample Depositional Environment,Sample Type,Sample Orientation,Sample Length,Sample Interval Length,Sample Diameter,Sample Size Units,Sample Weight Oven Dry,Sample Weight Humidity Dry,Sample Weight Air Dry,Sample Weight as Received,Sample Weight Units,Sample Bulk Volume,Sample Grain Volume,Sample Pore Volume,Sample Volume Units,Estimated Bulk Density (gm/cm^3),Leco TOC (wt percent),Hydrocarbon - S1 (mg/g),Hydrocarbon - S2 (mg/g),CO2 - S3 (mg/g),S2/S3 Ratio,RTI (percent Vbo),Production Index,Tmax (degrees C),H Index,O2 Index,Normalized Oil Content,Ro Calculated (percent),Ro Measured (percent),Ro Measurements,Ro Confidence,TOC Data Source (non isotherm sample),TOC Instrument Type (non isotherm sample),TOC Sample State (non isotherm sample)
INTEGER,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,INTEGER,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,,STRING
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849330,,,,6810.5,6832.5,,feet,6810.5,,2075.84,,,,,Shelf - Unspecified,PLG,HORIZONTAL,,,,,,,,,,,,,,,0.34,0.02,0.01,0.6,0.016666667,0.006,0.667,,3,176,6,,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849325,,,,6785.5,6803.5,,feet,6785.5,,2068.22,,Washita,Maness,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,1.6,0.26,1.1,0.37,2.972972973,0.073,0.191,436,69,23,16,0.69,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849318,,,,6760.5,6775.5,,feet,6760.5,,2060.6,,Washita,Maness,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,2.28,0.66,3.38,0.29,11.65517241,0.185,0.163,437,148,13,29,0.71,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849312,,,,6731,6747,,feet,6731,,2051.61,,Eagle Ford,Eagle Ford Shale,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,5.41,0.56,2.7,0.53,5.094339623,0.156,0.172,434,50,10,10,0.65,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849289,,,,6659.5,6668.5,,feet,6659.5,,2029.82,,Eagle Ford,Eagle Ford Shale,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,3.85,2.87,13.56,0.51,26.58823529,0.777,0.175,436,352,13,75,0.69,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849305,,,,6707.5,6723.5,,feet,6707.5,,2044.45,,Eagle Ford,Eagle Ford Shale,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,2.59,0.87,3.63,0.38,9.552631579,0.241,0.193,435,140,15,34,0.67,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849326,,,,6790.5,6808.5,,feet,6790.5,,2069.74,,Washita,Maness,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,2.07,0.44,1.53,0.23,6.652173913,0.124,0.223,437,74,11,21,0.71,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849327,,,,6795.5,6817.5,,feet,6795.5,,2071.27,,Washita,Maness,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,2.75,1.59,8.77,0.4,21.925,0.464,0.153,438,319,15,58,0.72,,,,Core Laboratories,,Whole Rock
10043986,42395317220000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,31.057933,-96.277228,Encana,Lily Hoppess Unit 1,,,Hilltop Resort,Gulf Coast,USA,Texas,Robertson,"Cretaceous, Late","Cretaceous, Late",,,327,feet,,,327,,,99.67,46849311,1005070900,,,6723,6739,,feet,6723,,2049.17,,Eagle Ford,Eagle Ford Shale,,Deltaic - Prodelta,PLG,HORIZONTAL,,,,,,,,,,,,,,,3.57,2.11,10.98,0.55,19.96363636,0.586,0.161,435,308,15,59,0.67,0.88,10,,Core Laboratories,,Whole Rock
