Unique Private Well ID,Unique Well ID,Project,Project Code,Calibration Set Code,Well Latitude,Well Longitude,Operator Name,Well Name,Offshore Area,Offshore Block Number,Prospect,Basin,Country,State,County,Minimum Geologic Age,Maximum Geologic Age,KB Elevation,Water Depth,Ground Level,Water Depth/Ground Level Units,KB Elevation - Feet,Water Depth - Feet,Ground Level - Feet,KB Elevation - Meters,Water Depth - Meters,Ground Level - Meters,Unique Sample ID,Sample Analytical Group,Public Sample ID,Public Sample Canister ID,Depth,Depth - Log Corrected,Depth Bottom,Depth Units,Depth - Feet,Depth Bottom - Feet,Depth - Meters,Depth Bottom - Meters,Sample Group,Sample Formation,Sample Member,Sample Depositional Environment,Sample Type,Sample Orientation,Sample Length,Sample Interval Length,Sample Diameter,Sample Size Units,Sample Weight Oven Dry,Sample Weight Humidity Dry,Sample Weight Air Dry,Sample Weight as Received,Sample Weight Units,Sample Bulk Volume,Sample Grain Volume,Sample Pore Volume,Sample Volume Units,CSG - Total (API Units),"CSG - Total, Uranium Free (API Units)",CSG - Uranium (API Units),CSG - Uranium (ppm),CSG - Thorium (API Units),CSG - Thorium (ppm),CSG - Potassium (API Units),CSG - Potassium (percent),CSG - Uranium Normalized,CSG - Thorium Normalized,CSG - Potassium Normalized,Desorption Bath Temperature,Desorption Bath Temperature Units,Estimated Bulk Density (gm/cm^3),Gas Desorbed - First Hour (cm^3),Gas Desorbed - Terminal (cm^3),Gas Desorbed - Terminal Collection Time (hrs),"Lost Gas (USBM Method), Volume (percent)","Lost Gas (USBM Method), Content (scf/ton)","Measured Gas, Volume (percent)","Measured Gas, Content (scf/ton)","Crushed Gas, Volume (percent)","Crushed Gas, Content (scf/ton)","Total, content (scf/ton)",Apparent Diffusivity (sec^-1),Apparent Sorption Time (hours),"Calorific Value, Dry (Btu/ft^3)","Calorific Value, Saturated (Btu/ft^3)","Apparent Sorbed Gas Composition C1 (mole percent, adjusted for air)","Apparent Sorbed Gas Composition C2 (mole percent, adjusted for air)","Apparent Sorbed Gas Composition C3 (mole percent, adjusted for air)","Apparent Sorbed Gas Composition CO2 (mole percent, adjusted for air)","Apparent Sorbed Gas Composition Total (mole percent, adjusted for air)",Methane Langmuir Parameter - Slope,Methane Langmuir Parameter - Intercept,Methane Langmuir Parameter - R2,Methane Langmuir Parameter Variation - Intercept (psi*ton/scf),Methane Langmuir Parameter Variation - Slope (ton/scf),Methane Langmuir Parameter Variation GsL (scf/ton),Methane Langmuir Parameter Variation PL (psia),Methane Langmuir Parameter - Langmuir Volume (scf/ton),Methane Langmuir Parameter - Langmuir Pressure (psia),Methane Langmuir Parameter - Pressure (Midpoint) (psia),Methane Langmuir Parameter - Storage Capacity (scf/ton),Methane Langmuir Parameter - Gibbs Corrected Langmuir Volume (scf/ton),Methane Langmuir Parameter - Gibbs Corrected Langmuir Pressure (psia),Methane Langmuir Parameter - Gibbs Corrected Storage Capacity (scf/ton),Methane Langmuir Parameter - Adsorbed Gas Density (gm/cm^3),Ethane Langmuir Parameter - Slope,Ethane Langmuir Parameter - Intercept,Ethane Langmuir Parameter - R2,Ethane Langmuir Parameter Variation - Intercept (psi*ton/scf),Ethane Langmuir Parameter Variation - Slope (ton/scf),Ethane Langmuir Parameter Variation GsL (scf/ton),Ethane Langmuir Parameter Variation PL (psia),Ethane Langmuir Parameter - Langmuir Volume (scf/ton),Ethane Langmuir Parameter - Langmuir Pressure (psia),Ethane Langmuir Parameter - Pressure (Midpoint) (psia),Ethane Langmuir Parameter - Storage Capacity (scf/ton),Nitrogen Langmuir Parameter - Slope,Nitrogen Langmuir Parameter - Intercept,Nitrogen Langmuir Parameter - R2,Nitrogen Langmuir Parameter Variation - Intercept (psi*ton/scf),Nitrogen Langmuir Parameter Variation - Slope (ton/scf),Nitrogen Langmuir Parameter Variation GsL (scf/ton),Nitrogen Langmuir Parameter Variation PL (psia),Nitrogen Langmuir Parameter - Langmuir Volume (scf/ton),Nitrogen Langmuir Parameter - Langmuir Pressure (psia),Nitrogen Langmuir Parameter - Pressure (Midpoint) (psia),Nitrogen Langmuir Parameter - Storage Capacity (scf/ton),Mixture Langmuir Parameter - Slope,Mixture Langmuir Parameter - Intercept,Mixture Langmuir Parameter - R2,Mixture Langmuir Parameter - Langmuir Volume (scf/ton),Mixture Langmuir Parameter - Langmuir Pressure (psia),Mixture Langmuir Parameter - Pressure (Midpoint) (psia),Mixture Langmuir Parameter - Storage Capacity (scf/ton),QRP Water Saturation (percent),QRP Total Porosity (percent),QRP Pore Volume (cm^3) - Fluid (NMR),QRP Pore Volume (cm^3) - Gas (He),QRP Pore Volume (cm^3) - Total,GSC Combustible Gas Content,GSC Gas Filled Porosity (percent),GSC Bulk Density (gm/cm^3),GSC Permeability NCS (psi),GSC Permeability Fresh-State Pulse-Decay Permeability (Keg) (md),"Porosity - Total (percent, 800 psi NCS)","Permeability - Klinkenberg (md, 800 psi NCS)",Grain Density (gm/cm^3),"Porosity - Total (percent at NCS, as received samples)","Permeability - Klinkenberg (md at NCS, as received samples)","NCS (psi, as received samples)","Porosity - Total (percent at NCS, dried samples)","Permeability - Klinkenberg (md at NCS, dried samples)","NCS (psi, dried samples)",Sample drying method,GRI Oil Density Used for Calculations (gm/cm^3),GRI Matrix Permeability (md),GRI Matrix Permeability - Absolute (md),GRI Bulk Density (gm/cm^3),GRI Grain Density (gm/cm^3),GRI Total Porosity (percent),GRI Gas Filled Porosity (percent),GRI Hydrocarbon Filled Porosity (percent),GRI Water Filled Porosity (percent),GRI Saturations - Sg (percent),GRI Saturations - So (percent Vp),GRI Saturations - So (percent Vb),GRI Saturations - Sw (percent),GRI Saturations - OBM Filtrate (percent),GRI Saturations Total,GRI Critical Gas Saturation (percent),GRI Critical Wetting Phase Saturation (percent),GRI Corey Type Parameter,GRI Matrix Permeability - Dry Gas Basis (md),GRI Data Source,TRA Saturations - Gas,TRA Saturations - Oil,TRA Saturations - Water,TRA Saturations - Bound Hydrocarbon,TRA Saturations - Bound Clay Water,TRA Saturations - Units,TRA Porosity,TRA Porosity - Gas Filled,TRA Porosity - Units,TRA Permeability - Pressure Decay,TRA Permeability - Units,TRA Density - Dry Grain,TRA Density - Grain,TRA Density - Bulk,TRA Density - Units,TRA Data Source,XRD Bulk Rock Quartz (weight percent),XRD Bulk Rock K-Feldspar (weight percent),XRD Bulk Rock Plagioclase (weight percent),XRD Bulk Rock Calcite (weight percent),XRD Bulk Rock Dolomite (weight percent),XRD Bulk Rock Siderite (weight percent),XRD Bulk Rock Pyrite (weight percent),XRD Bulk Rock Marcasite (weight percent),XRD Bulk Rock Fluorapatite (weight percent),XRD Bulk Rock Gypsum (weight percent),XRD Bulk Rock Sphalerite (weight percent),XRD Bulk Rock Barite (weight percent),XRD Bulk Rock Other (weight percent),XRD Bulk Rock Total Clay (weight percent),XRD Clay Fraction Kaolinite (weight percent),XRD Clay Fraction Illite (weight percent),XRD Clay Fraction Chlorite (weight percent),XRD Clay Fraction Smectite (weight percent),XRD Clay Fraction Mixed-Layer (weight percent),XRD Clay Fraction Mixed-Layer Type,XRD Clay Fraction Mixed-Layer Expanable Clay (percent) - Minimum,XRD Clay Fraction Mixed-Layer Expanable Clay (percent) - Maximum,XRD Bulk Rock Quartz (volume percent),XRD Bulk Rock K-Feldspar (volume percent),XRD Bulk Rock Plagioclase (volume percent),XRD Bulk Rock Calcite (volume percent),XRD Bulk Rock Dolomite (volume percent),XRD Bulk Rock Siderite (volume percent),XRD Bulk Rock Pyrite (volume percent),XRD Bulk Rock Marcasite (volume percent),XRD Bulk Rock Fluorapatite (volume percent),XRD Bulk Rock Gypsum (volume percent),XRD Bulk Rock Sphalerite (volume percent),XRD Bulk Rock Barite (volume percent),XRD Bulk Rock Other (volume percent),XRD Bulk Rock Vclay (volume percent),XRD Bulk Rock Kerogen (volume percent),"XRD CEC fixed, calculated","XRD Qv, calculated","XRD Clay-Bound Water, calculated",XRD Calculated Grain Density (gm/cm^3),Static Confining Stress (psi),Static Compressive Strength (10^3 psi),Static Youngs Modulus (10^6 psi),Static Poissons Ratio,Confining Stress 1 - Confining Stress (psi),Confining Stress 1 - Compressive Strength (10^3 psi),Confining Stress 2 - Confining Stress (psi),Confining Stress 2 - Compressive Strength (10^3 psi),Confining Stress 3 - Confining Stress (psi),Confining Stress 3 - Compressive Strength (10^3 psi),Confining Stress 4 - Confining Stress (psi),Confining Stress 4 - Compressive Strength (10^3 psi),Mohr-Coulomb - Slope s1 vx s3,Mohr-Coulomb - UCS (psi),Mohr-Coulomb - Linear Cohesion (psi),Mohr-Coulomb - Angle of Internal Friction (deg),Mohr-Coulomb - Coefficient Internal Friction,Axial Pressure (psi) - Reservoir NCS,Bulk Density (g/cm^3) - Reservoir NCS,Velocity - Vp (ft/sec) - Reservoir NCS,Velocity - Vs (ft/sec) - Reservoir NCS,Poissons Ratio - Reservoir NCS,Dynamic Moduli x 10^6 psi - Bulk (K) - Reservoir NCS,Dynamic Moduli x 10^6 psi - Youngs (E) - Reservoir NCS,Dynamic Moduli x 10^6 psi - Shear (G) - Reservoir NCS,Axial Pressure (psi) - High Axial Pressure,Velocity - Vp (ft/sec) - High Axial Pressure,Velocity - Vs (ft/sec) - High Axial Pressure,Poissons Ratio - High Axial Pressure,Dynamic Moduli x 10^6 psi - Bulk (K) - High Axial Pressure,Dynamic Moduli x 10^6 psi - Youngs (E) - High Axial Pressure,Dynamic Moduli x 10^6 psi - Shear (G) - High Axial Pressure,Proppant Embedment (20/40 Econoprop) At 10000 psi (mm),Leco TOC (wt percent),"Leco TOC, Isotherm Sample (wt percent)",Hydrocarbon - S1 (mg/g),Hydrocarbon - S2 (mg/g),CO2 - S3 (mg/g),S2/S3 Ratio,RTI (percent Vbo),Production Index,Tmax (degrees C),H Index,O2 Index,Normalized Oil Content,Ro Calculated (percent),Ro Measured (percent),Ro Measurements,Ro Confidence,TOC Sample State (non isotherm sample),TOC Data Source (non isotherm sample),TOC Instrument Type (non isotherm sample),Amorphinite - White Light - Content,Amorphinite - UV Fluorescence - Content,Amorphinite - UV Fluorescence - Color,Algae - UV Fluorescence - Content,Algae - UV Fluorescence - Color,Spores - UV Fluorescence - Content,Spores - UV Fluorescence - Color,Other - UV Fluorescence - Form,Other - UV Fluorescence - Content,Other - UV Fluorescence - Color,Bitumen,Phytoclasts Composition - Liptinite - Content,Phytoclasts Composition (percent) - Liptinite - Algae,Phytoclasts Composition (percent) - Liptinite -Spores,Phytoclasts Composition (percent) - Liptinite - Cuticle,Phytoclasts Composition (percent) - Liptinite - Resin,Phytoclasts Composition (percent) - Vitr,Phytoclasts - Inert Reworked,Isotopes - Del 13C Methane,Isotopes - Del D Methane
INTEGER,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,STRING,STRING,STRING,INTEGER,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,INTEGER,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,DECIMAL,DECIMAL,INTEGER,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,STRING,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,DECIMAL,DECIMAL,DECIMAL,INTEGER,DECIMAL,INTEGER,DECIMAL,INTEGER,DECIMAL,INTEGER,DECIMAL,DECIMAL,INTEGER,INTEGER,DECIMAL,DECIMAL,INTEGER,DECIMAL,INTEGER,INTEGER,DECIMAL,DECIMAL,DECIMAL,DECIMAL,INTEGER,INTEGER,INTEGER,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,STRING,STRING,STRING,,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,STRING,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL,DECIMAL
10292409,42283330260000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.292294,-99.315797,Talisman,Briggs Ranch G 2H Pilot,,,Briscoe Ranch,Gulf Coast,USA,Texas,La Salle,,,,,470,feet,,,470,,,143.26,46946413,,,,9303.5,9305,,feet,9303.5,,2835.71,,,,,Shelf - Unspecified,PLG,VERTICAL,,,,,,,,,,,,,,14.265,,29.08,3.635,7.48,1.87,1.84,0.115,0.7573,0.1948,0.0479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,33.633,4.862647,0.23,,,,,,,,,,,,,,1740,2.536,17383,10239,0.234,5.550619,8.846675,3.583496,18000,17713,10365,0.24,5.82787,9.105018,3.672525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292409,42283330260000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.292294,-99.315797,Talisman,Briggs Ranch G 2H Pilot,,,Briscoe Ranch,Gulf Coast,USA,Texas,La Salle,,,,,470,feet,,,470,,,143.26,46946414,,,,9311.5,9313,,feet,9311.5,,2838.15,,,,,Shelf - Unspecified,PLG,VERTICAL,,,,,,,,,,,,,,57.265,,42.32,5.29,21.08,5.27,8.16,0.51,0.5914,0.2946,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1740,27.072,5.264359,0.25,0,3.383,870,18.144,1740,27.072,2610,37.072,12.643,4919,692,58.584,1.637,500,2.611,16404,9567,0.242,5.176678,8.004119,3.221487,28000,17480,9790,0.272,6.25771,8.578549,3.373343,0.1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292409,42283330260000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.292294,-99.315797,Talisman,Briggs Ranch G 2H Pilot,,,Briscoe Ranch,Gulf Coast,USA,Texas,La Salle,,,,,470,feet,,,470,,,143.26,46946415,,,,9392.5,9393.3,,feet,9392.5,,2862.83,,Eagle Ford,Eagle Ford Shale,,Shelf - Inner,PLG,VERTICAL,,,,,,,,,,,,,,71.39,,43.76,5.47,22.12,5.53,3.2,0.2,0.6335,0.3202,0.0463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,31.383,5.855016,0.227,,,,,,,,,,,,,,2140,2.522,16676,9915,0.227,4.997322,8.19712,3.341355,16000,16927,9867,0.243,5.326476,8.224926,3.309456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292409,42283330260000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.292294,-99.315797,Talisman,Briggs Ranch G 2H Pilot,,,Briscoe Ranch,Gulf Coast,USA,Texas,La Salle,,,,,470,feet,,,470,,,143.26,46946416,,,,9442.5,9443.3,,feet,9442.5,,2878.07,,Eagle Ford,Eagle Ford Shale,,Shelf - Inner,PLG,VERTICAL,,,,,,,,,,,,,,87.773,,68.472,8.559,24.736,6.184,13.264,0.829,0.6431,0.2323,0.1246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,24.138,5.132047,0.232,0,3.463,1070,17.13,2140,24.138,3210,35.898,9.749,4510,722,54.48,1.4,500,2.527,15726,9652,0.198,4.193318,7.602753,3.173572,25000,16405,9462,0.251,5.101501,7.62891,3.049704,0.2246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292409,42283330260000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.292294,-99.315797,Talisman,Briggs Ranch G 2H Pilot,,,Briscoe Ranch,Gulf Coast,USA,Texas,La Salle,,,,,470,feet,,,470,,,143.26,46946417,,,,9469,9469.8,,feet,9469,,2886.15,,,,,Shelf - Unspecified,PLG,VERTICAL,,,,,,,,,,,,,,3.508,,2.864,0.358,1.88,0.47,1.008,0.063,0.4979,0.3268,0.1752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2140,27.094,4.741935,0.24,,,,,,,,,,,,,,2140,2.558,17108,9984,0.242,5.510228,8.536778,3.437288,14000,17592,10040,0.258,6.036935,8.750045,3.476571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10292204,42127337520000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.20476,-99.615217,Shell,Piloncillo A 1H,,,Briscoe Ranch,Gulf Coast,USA,Texas,Dimmit,,,662,,640,feet,662,,640,201.78,,195.07,46927487,,,,8332.5,8349.5,,feet,8332.5,,2539.75,,Eagle Ford,Eagle Ford Shale,,Shelf - Inner,PLG,HORIZONTAL,,,,,,,,,,,,,,33.674,,0.76,0.095,7.308,1.827,1.776,0.111,0.0772,0.7424,0.1804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.37,,2.13,1.95,0.61,3.196721311,,0.522,429,142,45,155,0.56,,,,Whole Rock,Weatherford International,,,,,,,,,,,,,,,,,,,,,
10292204,42127337520000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.20476,-99.615217,Shell,Piloncillo A 1H,,,Briscoe Ranch,Gulf Coast,USA,Texas,Dimmit,,,662,,640,feet,662,,640,201.78,,195.07,46927488,,,,8335.55,8353.55,,feet,8335.55,,2540.68,,Eagle Ford,Eagle Ford Shale,,Shelf - Inner,PLG,HORIZONTAL,,,,,,,,,,,,,,38.784,,2.776,0.347,7.18,1.795,3.184,0.199,0.2113,0.5464,0.2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.38,,1.53,1.57,0.55,2.854545455,,0.494,435,114,40,111,0.67,,,,Whole Rock,Weatherford International,,,,,,,,,,,,,,,,,,,,,
10292204,42127337520000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.20476,-99.615217,Shell,Piloncillo A 1H,,,Briscoe Ranch,Gulf Coast,USA,Texas,Dimmit,,,662,,640,feet,662,,640,201.78,,195.07,46927489,,,,8337.55,8355.55,,feet,8337.55,,2541.29,,Eagle Ford,Eagle Ford Shale,,Shelf - Outer,PLG,HORIZONTAL,,,,,,,,,,,,,,48.135,,5.024,0.628,4.956,1.239,4.256,0.266,0.3529,0.3481,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.73,,2.14,1.93,0.56,3.446428571,,0.526,449,112,32,124,0.92,,,,Whole Rock,Weatherford International,,,,,,,,,,,,,,,,,,,,,
10292204,42127337520000,Eagle Ford Shale (Reservoir Characterization/Production Properties),UGV,,28.20476,-99.615217,Shell,Piloncillo A 1H,,,Briscoe Ranch,Gulf Coast,USA,Texas,Dimmit,,,662,,640,feet,662,,640,201.78,,195.07,46927490,,,,8340.5,8358.5,,feet,8340.5,,2542.18,,Eagle Ford,Eagle Ford Shale,,Shelf - Outer,PLG,HORIZONTAL,,,,,,,,,,,,,,45.603,,3.408,0.426,6.34,1.585,4.96,0.31,0.2317,0.4311,0.3372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.86,,2.39,2.02,0.56,3.607142857,,0.542,464,109,30,128,1.19,,,,Whole Rock,Weatherford International,,,,,,,,,,,,,,,,,,,,,
