"","Entity","Uwi","Latitude","Longitude","Depth.True.Vertical","Tmax","S2","Romeasure","ClayChlo","waterporosity"
"1","242010264109",42013343820000,28.75636,-98.67409,8282,443.222724974951,7.44979054389524,0.822586442019662,3.1987405998088,2.23014391335446
"2","1420200095971",42123323550000,29.01233,-97.71304,12877,470.499417208909,4.41331731501743,1.25828758516436,3.41585171001177,2.23451047598832
"3","1420200096211 H",42123323440000,29.02998,-97.6687,13033,470.897513768739,4.27884688107489,1.25269257493345,3.45250585336968,2.18683762567263
"4","1420200097191",42123324300000,29.06642,-97.65437,12807,468.145170194533,5.04259395922444,1.21546974923086,3.35636675617556,2.24756802576454
"5","1420200097211",42123324700000,29.06066,-97.6372,12468,469.861982351927,4.57663686887974,1.23348623693458,3.56873951625682,2.237364155888
"6","1420200097311",42123323390100,28.99265,-97.71666,12611,472.652209098448,3.8829765401587,1.28743387895351,3.63892939653859,2.22973373587803
"7","1420200097312",42123323880000,28.9958,-97.71512,12601,472.355921941343,3.95536704929712,1.28327729638703,3.60355123093741,2.22848944003249
"8","1420200097313",42123323980000,29.00233,-97.73726,12904,470.351330715519,4.40320386121551,1.25963567181429,3.49038862195433,2.26957011506793
"9","1420200097314",42123323990000,29.00233,-97.73731,12049,470.348547636853,4.40376161976024,1.25960409838358,3.49032224215959,2.26965632882483
"10","1420200097423",42123324770000,29.04917,-97.64645,13036,470.273032628483,4.43362543998401,1.23984266664287,3.51509202074937,2.20797062235686
"11","1420200097551",42123324580100,29.04024,-97.67233,12307,469.612207181962,4.62371325587784,1.23722572540192,3.35568417789523,2.2072265833865
"12","1420200097711",42123324590000,29.04028,-97.67233,12407,469.608054158611,4.62484242132781,1.23717255790779,3.35540356820738,2.20729258115296
"13","1420200097741",42123325240000,29.05339,-97.66442,12209,468.749320984108,4.86032876733463,1.22461220707943,3.331696919599,2.22433303816544
"14","1420200097951",42123325080000,29.01657,-97.68532,13245,471.515609790868,4.15618338978933,1.26514258317071,3.47667098648941,2.19382683830591
"15","1420200098221",42123324690000,29.09503,-97.58646,12378,470.992050981216,4.47163950650404,1.24540994096957,4.20607999986885,2.39399054936435
"16","1420200098241",42123325170000,29.04917,-97.64646,12463,470.272380604454,4.43379773955144,1.2398368545539,3.51499490157,2.20797194838675
"17","1420200098381H",42123324060000,29.17051,-97.42186,13188,476.269243600643,2.60705696689292,1.37377701585395,6.95901562430905,2.87395603885349
"18","1420200098421",42123325580000,29.0423,-97.6982,11924,467.949240298276,5.10043371454084,1.22096852525047,3.17600446645754,2.24158237256466
"19","1420200098851",42123325040000,29.14259,-97.52928,12183,471.067558560973,4.30637324885512,1.26690648361601,5.02111581392403,2.59019025094939
"20","1420200098991",42123324950000,29.12424,-97.55139,12273,471.180479760471,4.40089679832777,1.25696539836947,4.70659444306804,2.52177381595771
