"Uwi","TimeSplitDate"
"42013342710000","2010-01-01"
"42013342730000","2010-01-01"
"42013342780100","2011-03-01"
"42013342820000","2010-02-01"
"42013342840000","2010-12-01"
"42013342850000","2010-06-01"
"42013342890000","2010-09-01"
"42013342900000","2010-06-01"
"42013342910100","2010-10-01"
"42013343060000","2010-11-01"
"42013343070000","2010-08-01"
"42013343080000","2010-10-01"
"42013343140100","2010-11-01"
"42013343150000","2010-12-01"
"42013343160000","2010-12-01"
"42013343180000","2011-02-01"
"42013343190000","2010-12-01"
"42013343210000","2011-02-01"
"42013343220000","2011-01-01"
"42013343230000","2011-02-01"
"42013343260000","2011-02-01"
"42013343290000","2011-09-01"
"42013343320000","2011-04-01"
"42013343330000","2011-04-01"
"42013343340100","2011-04-01"
"42013343350000","2011-04-01"
"42013343380000","2011-05-01"
"42013343400000","2011-09-01"
"42013343410000","2011-06-01"
"42013343420000","2011-06-01"
"42013343430000","2011-05-01"
"42013343440000","2011-05-01"
"42013343450000","2012-12-01"
"42013343470000","2011-06-01"
"42013343490000","2011-09-01"
"42013343510000","2012-12-01"
"42013343520000","2011-09-01"
"42013343530000","2011-08-01"
"42013343540000","2011-08-01"
"42013343550000","2011-08-01"
"42013343590000","2012-01-01"
"42013343600000","2011-08-01"
"42013343610000","2011-06-01"
"42013343620000","2012-05-01"
"42013343630000","2011-09-01"
"42013343640000","2011-07-01"
"42013343650000","2011-08-01"
"42013343660000","2012-09-01"
"42013343670000","2011-09-01"
"42013343680000","2011-08-01"
"42013343690000","2011-07-01"
"42013343700000","2011-09-01"
"42013343710000","2011-11-01"
"42013343720000","2011-11-01"
"42013343730000","2011-11-01"
"42013343750000","2012-01-01"
"42013343760000","2011-10-01"
"42013343770000","2011-09-01"
"42013343780000","2012-02-01"
"42013343810000","2011-09-01"
"42013343820000","2011-08-01"
"42013343830000","2012-04-01"
"42013343840000","2011-09-01"
"42013343850000","2011-10-01"
"42013343860000","2011-10-01"
"42013343870000","2012-04-01"
"42013343920000","2012-12-01"
"42013343940000","2011-10-01"
"42013343960000","2011-11-01"
"42013343980000","2011-11-01"
"42013343990000","2012-05-01"
"42013344000000","2011-11-01"
"42013344010000","2011-11-01"
"42013344030000","2012-06-01"
"42013344040000","2012-06-01"
"42013344070000","2011-11-01"
"42013344090000","2011-10-01"
"42013344100000","2012-05-01"
"42013344110000","2012-05-01"
"42013344120000","2011-11-01"
"42013344130000","2011-11-01"
"42013344160000","2011-10-01"
"42013344180000","2011-11-01"
"42013344200000","2011-10-01"
"42013344210000","2011-11-01"
"42013344220000","2012-03-01"
"42013344230000","2011-12-01"
"42013344240000","2012-01-01"
"42013344250000","2011-11-01"
"42013344260000","2011-12-01"
"42013344270000","2012-02-01"
"42013344280000","2011-12-01"
"42013344320000","2012-02-01"
"42013344330000","2012-02-01"
"42013344350000","2012-01-01"
"42013344400000","2012-02-01"
"42013344410000","2012-03-01"
"42013344450000","2012-03-01"
"42013344470000","2012-04-01"
"42013344480000","2012-04-01"
"42013344520000","2012-02-01"
"42013344530000","2012-06-01"
"42013344540000","2012-06-01"
"42013344550000","2012-08-01"
"42013344560000","2012-04-01"
"42013344570000","2012-04-01"
"42013344580000","2012-05-01"
"42013344610000","2012-03-01"
"42013344620000","2012-05-01"
"42013344630000","2012-08-01"
"42013344640000","2012-04-01"
"42013344650000","2012-06-01"
"42013344660000","2012-06-01"
"42013344680000","2012-06-01"
"42013344690000","2012-10-01"
"42013344710000","2012-12-01"
"42013344720000","2012-05-01"
"42013344730000","2012-04-01"
"42013344740000","2012-04-01"
"42013344760000","2012-06-01"
"42013344770000","2012-06-01"
"42013344780000","2012-07-01"
"42013344790000","2012-04-01"
"42013344800000","2012-07-01"
"42013344810000","2012-09-01"
