Sequence,Uwi,Rules.Based.Score
1,42013342710000,0
2,42013342730000,250
3,42013342780100,250
4,42013342820000,200
5,42013342840000,200
6,42013342850000,150
7,42013342900000,200
8,42013342910100,300
9,42013343060000,300
10,42013343070000,300
11,42013343110000,50
12,42013343140100,100
13,42013343150000,100
14,42013343160000,250
15,42013343180000,300
16,42013343190000,-50
17,42013343210000,100
18,42013343220000,300
19,42013343230000,300
20,42013343260000,250
21,42013343290000,0
22,42013343320000,150
23,42013343330000,200
24,42013343340100,50
25,42013343350000,200
26,42013343380000,300
27,42013343400000,300
28,42013343410000,300
29,42013343420000,300
30,42013343430000,300
31,42013343440000,300
32,42013343470000,300
33,42013343490000,250
34,42013343520000,250
35,42013343530000,300
36,42013343540000,300
37,42013343550000,300
38,42013343590000,300
39,42013343600000,300
40,42013343610000,300
41,42013343620000,200
42,42013343630000,300
43,42013343640000,300
44,42013343650000,300
45,42013343670000,300
46,42013343680000,250
47,42013343690000,300
48,42013343700000,250
49,42013343710000,300
50,42013343720000,300
51,42013343730000,300
52,42013343750000,300
53,42013343760000,250
54,42013343770000,50
55,42013343780000,300
56,42013343810000,300
57,42013343820000,0
58,42013343840000,300
59,42013343850000,300
60,42013343860000,300
61,42013343870000,300
62,42013343940000,100
63,42013343960000,300
64,42013343980000,300
65,42013344010000,300
66,42013344070000,300
67,42013344090000,300
68,42013344100000,300
69,42013344110000,300
70,42013344120000,300
71,42013344130000,250
72,42013344160000,300
73,42013344180000,100
74,42013344200000,300
75,42013344210000,300
76,42013344220000,-50
77,42013344230000,300
78,42013344240000,200
79,42013344250000,300
80,42013344260000,100
81,42013344270000,100
82,42013344280000,100
83,42013344320000,100
84,42013344330000,300
85,42013344350000,50
86,42013344400000,300
87,42013344410000,300
88,42013344450000,200
89,42013344470000,200
90,42013344480000,150
91,42013344520000,200
92,42013344560000,100
93,42013344570000,100
94,42013344580000,300
95,42013344610000,300
96,42013344620000,300
97,42013344640000,250
98,42013344720000,300
99,42013344730000,250
100,42013344740000,250
101,42013344790000,250
102,42013344890000,-50
103,42013344900000,250
104,42025336250000,150
105,42025337170000,350
106,42025337210100,150
107,42025337240000,300
108,42025337260000,350
109,42025337410000,350
110,42025337750000,150
111,42025337910000,150
112,42025337950000,350
113,42041320140100,150
114,42041320160000,400
115,42051331310100,350
116,42051336380100,350
117,42051336400000,250
118,42051336430000,250
119,42051336570000,200
120,42051336650000,200
121,42123322020000,450
122,42123322310100,400
123,42123322520100,350
124,42123322550100,400
125,42123322610000,450
126,42123322840000,350
127,42123322920000,450
128,42123322950000,450
129,42123322990000,450
130,42123323010000,450
131,42123323020000,400
132,42123323050000,400
133,42123323080100,450
134,42123323090000,350
135,42123323110000,350
136,42123323150000,450
137,42123323160000,450
138,42123323170000,450
139,42123323200000,450
140,42123323210000,450
141,42123323260000,350
142,42123323270000,400
143,42123323290000,450
144,42123323320000,350
145,42123323350000,450
146,42123323360000,350
147,42123323370000,450
148,42123323380000,450
149,42123323390100,400
150,42123323420000,350
151,42123323430000,450
152,42123323440000,450
153,42123323450000,400
154,42123323460000,350
155,42123323480000,450
156,42123323490000,450
157,42123323510000,350
158,42123323530000,350
159,42123323550000,400
160,42123323560000,450
161,42123323570000,350
162,42123323590000,400
163,42123323600000,350
164,42123323610000,350
165,42123323620100,350
166,42123323640000,350
167,42123323660000,450
168,42123323670000,350
169,42123323680000,450
170,42123323700000,350
171,42123323720000,450
172,42123323770000,450
173,42123323780100,500
174,42123323800000,500
175,42123323820000,350
176,42123323840100,400
177,42123323850000,450
178,42123323860000,400
179,42123323880000,400
180,42123323890000,350
181,42123323900000,450
182,42123323910000,450
183,42123323920000,450
184,42123323930000,450
185,42123323940000,400
186,42123323950000,400
187,42123323960000,350
188,42123323980000,400
189,42123323990000,400
190,42123324000000,350
191,42123324010000,400
192,42123324020000,350
193,42123324030000,400
194,42123324040000,400
195,42123324060000,350
196,42123324070000,350
197,42123324080000,200
198,42123324090000,400
199,42123324100000,400
200,42123324110000,450
201,42123324120000,450
202,42123324130000,450
203,42123324140000,350
204,42123324150000,450
205,42123324160000,400
206,42123324170000,400
207,42123324180000,450
208,42123324190000,400
209,42123324200000,400
210,42123324210000,450
211,42123324220000,350
212,42123324230000,450
213,42123324240000,400
214,42123324260000,350
215,42123324270000,350
216,42123324280000,500
217,42123324290000,400
218,42123324300000,400
219,42123324310000,400
220,42123324340000,350
221,42123324350000,450
222,42123324360000,400
223,42123324370000,450
224,42123324380000,400
225,42123324390000,450
226,42123324420000,500
227,42123324430000,400
228,42123324440000,350
229,42123324450000,450
230,42123324460000,350
231,42123324470000,400
232,42123324490000,450
233,42123324500000,400
234,42123324510000,350
235,42123324520000,450
236,42123324530000,350
237,42123324540000,450
238,42123324550000,400
239,42123324580100,400
240,42123324590000,400
241,42123324610000,350
242,42123324630000,450
243,42123324640000,250
244,42123324650000,350
245,42123324660000,350
246,42123324670000,450
247,42123324680000,350
248,42123324690000,350
249,42123324700000,450
250,42123324720000,350
251,42123324730100,400
252,42123324740000,350
253,42123324750000,400
254,42123324770000,450
255,42123324780000,400
256,42123324790000,450
257,42123324800000,350
258,42123324810000,350
259,42123324830000,400
260,42123324840000,350
261,42123324860000,400
262,42123324910000,350
263,42123324920000,400
264,42123324940000,400
265,42123324950000,350
266,42123324970000,350
267,42123324980100,400
268,42123325010000,400
269,42123325020000,350
270,42123325040000,350
271,42123325060000,400
272,42123325080000,400
273,42123325140000,400
274,42123325150000,450
275,42123325160000,450
276,42123325170000,450
277,42123325190100,400
278,42123325210000,350
279,42123325220000,400
280,42123325240000,400
281,42123325250000,250
282,42123325260000,400
283,42123325280000,450
284,42123325290000,350
285,42123325300000,450
286,42123325310000,350
287,42123325320000,400
288,42123325330000,400
289,42123325350000,350
290,42123325420000,350
291,42123325450000,350
292,42123325460000,350
293,42123325490100,250
294,42123325510000,400
295,42123325550000,400
296,42123325560000,350
297,42123325580000,400
298,42123325590100,350
299,42123325600000,400
300,42123325610000,350
301,42123325650000,350
302,42123325660000,450
303,42123325680000,400
304,42123325690200,350
305,42123325700000,400
306,42123325710000,450
307,42123325760000,400
308,42123325770000,350
309,42123325780000,350
310,42123325800000,350
311,42123325900000,400
312,42123325910000,400
313,42123325970000,450
314,42123325980000,350
315,42123326030000,350
316,42123326040100,350
317,42123326140000,400
318,42123326150000,400
319,42123326200000,400
320,42123326220000,350
321,42123326230000,400
322,42123326270000,350
323,42123326330000,400
324,42123326380000,400
325,42123326470000,400
326,42123326510100,350
327,42123326570000,350
328,42123326580000,350
