Uwi,Core.TOC,Core.RoMeasured,Producer.oilApiGravity,Core.GriSaturationsSo,Core.ln_formationThickness,Core.GriTotalPorosity,Core.XrdQuartz,Producer.mudPressure,Rules.Prediction,Kaggle.Prediction,Target
42013342710000,3.232119634,0.804061841,29.5,31.99946435,4.687446422,6.352679109,13.75045925,0.52,-200,13.96887096,6.371288556
42013342730000,3.310496195,0.985654275,42.3,32.95022192,5.164931064,7.137524724,13.72734775,0.575310953,50,9.457964051,6.117101574
42013342780100,3.346269391,1.005922004,37.5,32.44502969,5.166827868,7.202578898,13.82729277,0.578801173,50,8.275468214,11.05064599
42013342820000,3.322226369,0.994477592,36.9,32.70898117,5.16545476,7.151049674,13.7654844,0.576069776,0,8.911540356,6.310644945
42013342840000,3.315798764,0.992343569,36.1,32.71053925,5.162779617,7.128595155,13.75959682,0.575305359,0,9.258892392,1.32613438
42013342850000,3.314567008,0.993409971,34.9,32.63286225,5.160430338,7.115780017,13.76829255,0.574992373,-50,9.242480777,9.413507926
42013342900000,3.317392352,0.99495431,37.5,32.60944715,5.161570412,7.123041354,13.7726898,0.575276832,0,9.139534246,11.77620087
42013342910100,3.341664717,1.158299919,40.93,26.85342229,5.121255778,7.251940534,14.83341422,0.588771571,100,10.88483459,12.96858407
42013343060000,3.353293398,1.187880941,45.4,26.05058024,5.160437354,7.348296987,14.91951207,0.586418508,100,13.31621403,8.429219429
42013343070000,3.2943384,1.198818247,44.4,26.29626977,5.195325725,7.309933348,14.81724137,0.587674574,100,14.17029228,19.36695464
42013343140100,3.109370375,0.859024363,32,37.3953386,5.19716829,7.308042369,12.81623835,0.557825006,-100,12.14642975,11.6777415
42013343150000,3.038785542,0.839780283,32.4,38.0972593,5.199188246,7.325806191,12.55347552,0.551776983,-100,13.06828762,6.757285974
42013343160000,3.37749638,1.025930641,37,31.83218193,5.164784164,7.231504637,13.93529961,0.582920192,50,9.130721881,2.220064725
42013343180000,3.472119287,1.204768413,40.8,25.89066539,5.217908524,7.195589186,14.54963865,0.594698705,100,11.98844172,12.43235704
42013343190000,3.162691906,0.743417138,32,37.01992613,4.979861046,6.67660776,13.15556811,0.539637539,-250,20.20603456,4.097222222
42013343210000,3.456817684,1.208429549,NA,25.70457085,5.220620672,7.202669861,14.60156246,0.59279998,-100,12.30587458,9.523719524
42013343220000,3.448677292,1.185659783,43,26.47732347,5.203891345,7.173242244,14.50170715,0.56160001,100,11.95522258,8.374608764
42013343230000,3.406768068,1.16443953,42.65,27.03485081,5.183531975,7.143718831,14.48553922,0.57720002,100,10.11625836,16.53640777
42013343260000,3.349728593,1.031437548,45,29.17765774,4.939217975,6.869092836,14.53981957,0.579984982,50,10.45525791,10.33054054
42013343290000,3.04966976,0.731104005,33.7,40.4726415,5.259432513,7.012945231,12.78080181,0.542356806,-150,15.88413348,4.882132834
42013343320000,3.186493477,0.881785806,36.67,36.33605774,5.196826406,7.176431566,13.13596898,0.560721925,-50,11.91760727,9.01330838
42013343330000,3.355422058,1.030085145,40,29.16979104,4.932512267,6.866855933,14.55774737,0.579954462,0,10.6926292,9.883073497
42013343340100,2.859675364,0.794783328,35.6,38.57923114,5.198052793,7.240718906,11.81362974,0.549958615,-150,12.22944136,3.42830678
42013343350000,3.345042328,1.021202727,37,29.34556842,4.92766934,6.837670942,14.50091049,0.576854677,0,11.54773877,4.863236157
42013343380000,3.452537843,1.166258858,47.8,25.89493037,5.098931273,7.424265918,15.09169671,0.584787278,100,12.01110015,16.35501776
42013343400000,3.471785057,1.200492542,44.12,26.04604605,5.214768376,7.191353195,14.52859433,0.594480379,100,11.96213212,11.72573739
