Uwi,Producer.oilApiGravity,Core.XrdQuartz,Producer.mudPressure,Core.TOC,Core.RoMeasured,Core.GriSaturationsSo,Core.ln_formationThickness,Core.GriTotalPorosity,Rules.Prediction,Kaggle.Prediction,Target
42013342710000,29.5,13.75045925,0.52,3.190758349,0.811959724,31.47345723,4.761794101,6.330975476,-200,13.96887096,6.371288556
42013342730000,42.3,13.72734775,0.575310953,3.262827057,0.986501607,30.54307245,5.15816243,6.927939669,50,9.457964051,6.117101574
42013342780100,37.5,13.82729277,0.578801173,3.286869416,1.006725008,29.6561899,5.154083974,6.981153366,50,8.275468214,11.05064599
42013342820000,36.9,13.7654844,0.576069776,3.270382094,0.995268169,30.21367355,5.156907452,6.938794179,0,8.911540356,6.310644945
42013342840000,36.1,13.75959682,0.575305359,3.265775717,0.99314421,30.32759887,5.156323994,6.919879132,0,9.258892392,1.32613438
42013342850000,34.9,13.76829255,0.574992373,3.264755823,0.994239551,30.30673961,5.155134517,6.908969231,-50,9.242480777,9.413507926
42013342900000,37.5,13.7726898,0.575276832,3.266625761,0.99574181,30.24687264,5.155456186,6.915017245,0,9.139534246,11.77620087
42013342910100,40.93,14.83341422,0.588771571,3.325555914,1.158881492,25.53476001,5.140749647,6.940575405,100,10.88483459,12.96858407
42013343060000,45.4,14.91951207,0.586418508,3.33676667,1.187893671,24.72066073,5.174796332,7.009423931,100,13.31621403,8.429219429
42013343070000,44.4,14.81724137,0.587674574,3.330331678,1.198365031,24.98079998,5.203990687,6.995556495,100,14.17029228,19.36695464
42013343140100,32,12.81623835,0.557825006,3.178482297,0.861771678,35.40474637,5.196643721,7.133947612,-100,12.14642975,11.6777415
42013343150000,32.4,12.55347552,0.551776983,3.154416179,0.842648192,36.37247039,5.202160302,7.176463581,-100,13.06828762,6.757285974
42013343160000,37,13.93529961,0.582920192,3.306043711,1.02667203,28.8118677,5.149453741,7.003001244,50,9.130721881,2.220064725
42013343180000,40.8,14.54963865,0.594698705,3.372802845,1.204096307,23.96666585,5.208086723,6.983029916,100,11.98844172,12.43235704
42013343190000,32,13.15556811,0.539637539,3.130754782,0.74809869,36.18878868,5.067471281,6.570555292,-200,20.20603456,4.097222222
42013343210000,NA,14.60156246,0.59279998,3.369461001,1.20790752,23.95997968,5.213867219,6.983842327,-100,12.30587458,9.523719524
42013343220000,43,14.50170715,0.56160001,3.360236974,1.185197577,24.58027334,5.19583628,6.960333861,100,11.95522258,8.374608764
42013343230000,42.65,14.48553922,0.57720002,3.341991981,1.164421652,25.31750034,5.181649197,6.92665797,100,10.11625836,16.53640777
42013343260000,45,14.53981957,0.579984982,3.289781609,1.034787548,28.01907045,4.980349741,6.675580548,50,10.45525791,10.33054054
42013343290000,33.7,12.78080181,0.542356806,3.095199193,0.73311746,39.3920928,5.288176857,6.816164101,-200,15.88413348,4.882132834
42013343320000,36.67,13.13596898,0.560721925,3.191526099,0.882939756,34.31352796,5.196744336,6.979640945,-50,11.91760727,9.01330838
42013343330000,40,14.55774737,0.579954462,3.291094945,1.033527499,28.01385276,4.97404815,6.672843686,0,10.6926292,9.883073497
42013343340100,35.6,11.81362974,0.549958615,3.07364805,0.794010161,37.78161548,5.216863533,7.164273582,-100,12.22944136,3.42830678
42013343350000,37,14.50091049,0.576854677,3.285539318,1.024777774,28.20782063,4.970201434,6.655107224,0,11.54773877,4.863236157
42013343380000,47.8,15.09169671,0.584787278,3.347883807,1.167052745,24.47753151,5.119319489,7.037142385,100,12.01110015,16.35501776
42013343400000,44.12,14.52859433,0.594480379,3.371544673,1.199847386,24.07234213,5.204408229,6.979733093,100,11.96213212,11.72573739
42013343410000,42.5,15.05493019,0.58521104,3.345236843,1.170526489,24.53273321,5.129581771,7.028520213,100,12.29344827,17.23535229
42013343420000,41.5,15.05563724,0.585210776,3.345279843,1.170398812,24.53284611,5.129285178,7.028586545,100,12.39845854,15.291828
42013343430000,44,14.79436526,0.60320002,3.357960626,1.221609879,23.87624253,5.230365486,7.018428166,100,12.8364188,14.37443021
42013343440000,43,14.80606984,0.588278082,3.354986345,1.220330493,23.9592304,5.229041902,7.019649276,100,11.98549788,26.1916221
42013343470000,47,14.52133766,0.592961916,3.36251347,1.190208023,24.4395264,5.199435106,6.965144242,100,11.99255643,10.56102966
42013343490000,41.6,14.62386246,0.586163409,3.298319821,1.052037142,27.65800029,4.994969062,6.713748919,50,9.989405212,12.47732375
42013343520000,41,14.62414999,0.586163957,3.298344339,1.052036,27.65761881,4.994909045,6.713765091,50,10.13285345,6.929824561
42013343530000,45.3,14.90270079,0.584262832,3.363412522,1.238388166,23.34281362,5.246847327,7.066287101,100,12.06583037,14.52016916
42013343540000,43,14.55049439,0.58760001,3.353147272,1.184771261,24.72096927,5.196646644,6.952316536,100,12.18320383,6.361747308
42013343550000,44.1,14.90448125,0.584199345,3.362809975,1.237945702,23.36170655,5.24629926,7.066473282,100,12.02840795,19.85826508
42013343590000,42.9,14.42640479,0.595523486,3.327670057,1.140672558,26.01675061,5.164121812,6.89427938,100,10.19427896,15.73314082
42013343600000,46.1,15.13938645,0.580731813,3.355475276,1.192433345,23.73232935,5.153688682,7.094930842,100,13.37688537,11.46598497
42013343610000,47,15.13793445,0.580906401,3.3550337,1.190556,23.78081356,5.150885611,7.091595219,100,13.41271832,9.589638017
42013343620000,36.3,13.70536123,0.580196031,3.290074942,0.962577398,30.8553347,5.149594835,7.140987398,0,8.148089402,15.3474078
42013343630000,41.3,14.26405944,0.599789335,3.356801971,1.118161987,25.79863791,5.156130644,6.998709664,100,11.46310292,15.67713787
42013343640000,41.1,15.01097373,0.585808569,3.342010413,1.173739998,24.62860007,5.140446623,7.017706317,100,12.24173124,6.726260504
42013343650000,42,13.98101284,0.584752579,3.312122119,1.038313506,28.42738771,5.149084713,6.99775018,100,8.972281849,1.886643051
42013343670000,41.4,14.26455069,0.59980453,3.356911568,1.118318349,25.79293496,5.156152626,6.998801414,100,11.24175271,21.5063432
42013343680000,42,14.82457937,0.591495889,3.317073377,1.061057929,27.26051226,4.977909913,6.760019677,50,10.81156988,10.76492877
42013343690000,46.2,14.78043193,0.588887796,3.378132571,1.238477565,23.15026025,5.245059496,7.034114497,100,12.6194283,20.47107438
42013343700000,40,13.97532236,0.584440939,3.310534505,1.038183308,28.46653297,5.149663471,6.992646534,50,8.952510642,2.896558746
42013343710000,44.2,14.56128124,0.59785872,3.40069131,1.230262938,22.83296458,5.213606588,7.022278856,100,11.78549542,14.16909826
42013343720000,41.1,15.06320049,0.582121454,3.350387765,1.197180438,23.93405377,5.1708691,7.071717459,100,13.79077733,8.712646167
42013343730000,41.1,15.06357183,0.58211512,3.350403033,1.197121238,23.93389029,5.170731422,7.071763078,100,14.33272388,7.431460237
42013343750000,40.5,14.17971087,0.595879855,3.336734265,1.100647583,26.64017208,5.156668471,6.966022434,100,9.963062911,18.02048998
42013343760000,40,13.95280092,0.583328306,3.305906184,1.034513358,28.6473531,5.150687496,6.984524269,50,9.009851337,5.486119679
42013343770000,39,11.82749112,0.549823184,3.074753049,0.793664526,37.76752355,5.216973049,7.161439428,-100,11.85748099,1.56520979
42013343780000,40.2,14.17995576,0.5958937,3.336764548,1.100702061,26.63844318,5.156678119,6.96603685,100,9.755432174,19.62436054
42013343810000,43.02,14.52868352,0.594487731,3.371575321,1.199881789,24.07104933,5.204425192,6.979781987,100,12.02616516,14.44298976
42013343820000,NA,12.36427545,0.545726048,3.127281778,0.820512846,36.9282394,5.212685512,7.134131815,-200,12.70725281,4.912259615
42013343840000,46.6,14.56088021,0.597859966,3.400588468,1.230091413,22.83848129,5.213501678,7.022126139,100,11.95122515,29.60153736
42013343850000,46.6,14.56156403,0.59770868,3.399512967,1.22947443,22.87856523,5.213978318,7.020758269,100,12.22877427,15.92513465
42013343860000,70,14.56197374,0.597707552,3.399589407,1.229608402,22.87437239,5.214066196,7.020874677,100,11.92525679,15.26082328
42013343870000,41.5,14.36687342,0.595059547,3.31193016,1.113660424,26.76779909,5.142756026,6.85487483,100,10.20804991,10.58575804
42013343940000,35.9,13.94144154,0.548123873,3.212334919,0.844845288,30.44884412,4.726956467,6.322836683,-100,15.55730762,7.215521272
42013343960000,41.1,14.96478276,0.58632018,3.338853231,1.178265228,24.71736822,5.153727009,7.009150331,100,13.88419939,8.598688525
42013343980000,41.1,14.96478376,0.586329108,3.338843477,1.178192735,24.7186641,5.153609328,7.009046341,100,13.251855,8.412418301
42013344010000,45.6,14.88401423,0.587213787,3.333569098,1.186534958,24.89316444,5.177333512,6.996876801,100,14.0841195,8.201750449
42013344070000,43.95,14.51561098,0.592985995,3.363065998,1.189922385,24.43404322,5.198985191,6.965691822,100,12.13626889,11.22996689
42013344090000,44.6,14.84620174,0.586616256,3.343841556,1.21447088,24.3070337,5.221577382,7.023807759,100,14.42148665,11.77049589
42013344100000,43,14.52542474,0.5935598,3.317896148,1.138419078,26.1934797,5.150519001,6.874187786,100,10.10181536,7.794202407
42013344110000,43,14.52552661,0.593558228,3.317877892,1.138397514,26.19413754,5.1504818,6.874142048,100,10.06942265,10.08321965
42013344120000,45.6,14.8677061,0.585829235,3.342544352,1.214426134,24.31635979,5.22016034,7.030283206,100,14.6393448,12.11319073
42013344130000,35.9,14.16011519,0.594345688,3.341859906,1.078294336,26.90170893,5.146945663,7.01382839,50,9.384500178,25.04644472
42013344160000,46.3,14.84666875,0.586596981,3.343920922,1.214588427,24.30250549,5.221693409,7.024074828,100,15.45743262,11.28712446
42013344180000,NA,15.0581321,0.582360058,3.349701131,1.195814844,23.98441743,5.169357192,7.067857428,-100,13.91135698,10.7608644
42013344200000,44,14.86830557,0.585802886,3.342658618,1.214580166,24.30985135,5.220304847,7.030659929,100,14.94594301,10.96951639
42013344210000,45,15.05849394,0.582355332,3.349724409,1.195783278,23.98355592,5.169259892,7.067950753,100,14.09021126,11.2007217
42013344220000,28.05,13.9850848,0.52,3.215316335,0.834021235,30.07356787,4.646371814,6.264876842,-200,15.25360216,3.791223705
42013344230000,44.5,14.55326488,0.593740745,3.365659608,1.197704068,24.23336796,5.205205695,6.972604606,100,11.81371867,12.59395248
42013344240000,38,14.60962064,0.577429292,3.294608116,1.020359615,28.15128389,4.937879776,6.645390379,0,11.40956186,12.20399776
42013344250000,48.9,14.92966645,0.586292567,3.337422561,1.186883368,24.69700583,5.171894822,7.011042981,100,13.98018899,11.34199857
42013344260000,37.3,12.08508527,0.547579316,3.133281977,0.823441888,39.07624462,5.171382055,7.417329908,-50,11.03717671,18.33685076
42013344270000,35.2,12.11442644,0.547756151,3.137608977,0.824767325,39.07510335,5.170880747,7.431162642,-50,10.63072317,11.53157141
42013344280000,33.5,12.44909679,0.53560001,3.118478283,0.800516631,37.11507441,5.224963911,7.027632514,-100,13.21674885,10.50351873
42013344320000,34.5,12.98698059,0.550527264,3.157234725,0.841218678,35.74710078,5.218250566,6.912457891,-100,12.43706365,9.99494311
42013344330000,40.3,14.18020416,0.595907714,3.336803517,1.100767413,26.63630277,5.156688998,6.966062239,100,9.837835505,15.46699875
42013344350000,0.5,14.69572736,0.58583254,3.304101807,1.045188677,27.67985726,4.969232379,6.705807977,-150,10.7469383,11.03507503
42013344400000,44,14.58106408,0.594057312,3.368486307,1.204241843,24.05100574,5.210502983,6.979796739,100,12.05929391,9.803479286
42013344410000,49.2,14.72889961,0.590314165,3.343759643,1.199059043,24.62544623,5.207756604,6.977655344,100,11.8420438,10.90747863
42013344450000,35,14.36834082,0.58261472,3.283738534,1.054515269,27.99917411,5.057182367,6.732127589,0,9.42809792,7.393837346
